Hora,Minuto,Abertura,Máx,Mín,Fechar,WDOZ6 Curncy - Volume,RSI (14) no fechto (WDOZ6),,,,
17,57,3437,3437.5,3436,3437.476,611,39.3351,,,,
17,54,3436.5,3437.5,3436,3437.476,379,39.3351,,,,
17,51,3437,3437.5,3435.5,3437.476,358,39.3351,,,,
17,48,3436,3437.5,3433.5,3437.476,1263,39.3351,,,,
17,45,3436.5,3437.476,3435,3437.476,515,39.3351,,,,
17,42,3435.5,3437.476,3435.5,3437.476,365,39.3351,,,,
17,39,3440,3440,3435,3437.476,1674,39.3351,,,,
17,36,3444.5,3444.5,3437.476,3437.476,2768,39.3351,,,,
17,33,3445,3445,3444,3444.5,336,58.4696,,,,
17,30,3444.5,3447,3444,3445,1065,60.4122,,,,
17,27,3445,3445.5,3443.5,3444.5,905,59.152,,,,
17,24,3445,3446,3444.5,3445,1239,60.9537,,,,
17,21,3442.5,3445.5,3442,3445,900,60.9537,,,,
17,18,3443.5,3444,3442,3442.5,528,55.0513,,,,
17,15,3443.5,3445,3442.5,3443.5,641,58.3261,,,,
17,12,3442,3444.5,3442,3443,550,57.1425,,,,
17,9,3442.5,3443.5,3441.5,3442,537,54.7559,,,,
17,6,3442,3442.5,3441,3442.5,499,56.2091,,,,
17,3,3443.5,3444.5,3442,3442,1310,55.1027,,,,
17,0,3443.5,3444.5,3442,3444,1379,60.8096,,,,
16,57,3442.5,3444.5,3442,3443.5,1509,59.8442,,,,
16,54,3440,3446,3440,3443,3198,58.9041,,,,
16,51,3440.5,3441,3439,3440,1092,52.7398,,,,
16,48,3437.5,3442,3437.5,3441,2483,55.3076,,,,
16,45,3437,3438,3436.5,3437.5,725,46.9061,,,,
16,42,3436,3437.5,3436,3436.5,557,44.1192,,,,
16,39,3436.5,3437,3436,3436.5,569,44.1192,,,,
16,36,3436.5,3437.5,3435,3436.5,808,44.1192,,,,
16,33,3437.5,3437.5,3436.5,3436.5,278,44.1192,,,,
16,30,3435,3440,3434.5,3437,3327,44.9972,,,,
16,27,3436.5,3436.5,3433,3434.5,2317,39.3977,,,,
16,24,3436.5,3437.5,3434.5,3436,1409,41.7667,,,,
16,21,3436,3438.5,3434.5,3437,2103,43.3815,,,,
16,18,3439.5,3441.5,3435,3435.5,2092,40.159,,,,
16,15,3441,3442.5,3439.5,3439.5,2057,46.7473,,,,
16,12,3439.5,3442.5,3438.5,3441,1727,49.5796,,,,
16,9,3439,3440,3438,3439.5,929,46.5739,,,,
16,6,3437,3439,3436.5,3439,714,45.5695,,,,
16,3,3436.5,3437.5,3434.5,3437,724,41.4836,,,,
