Hora;Minuto;Abertura;Máx;Mín;Fechar;WDOZ6 Curncy - Volume;RSI (14) no fechto (WDOZ6);;;;
17;57;3353;3354;3342,876;3342,876;788;51,1249;;;;
17;54;3352;3354;3342,876;3342,876;1473;51,1249;;;;
17;51;3349;3352,5;3342,876;3342,876;1277;51,1249;;;;
17;48;3347,5;3349;3342,876;3342,876;509;51,1249;;;;
17;45;3347;3348,5;3342,876;3342,876;651;51,1249;;;;
17;42;3349;3349;3342,876;3342,876;885;51,1249;;;;
17;39;3345;3350;3342,876;3342,876;2250;51,1249;;;;
17;36;3344;3346;3342,876;3342,876;1260;51,1249;;;;
17;33;3343;3344,5;3342,876;3342,876;390;51,1249;;;;
17;30;3342;3344;3341,5;3342,876;680;51,1249;;;;
17;27;3341;3342,876;3340;3342,876;1445;51,1249;;;;
17;24;3342,5;3343;3341;3342,876;580;51,1249;;;;
17;21;3343,5;3344;3342;3342,876;503;51,1249;;;;
17;18;3342,5;3343,5;3342,5;3342,876;303;51,1249;;;;
17;15;3343,5;3344,5;3342,5;3342,876;675;51,1249;;;;
17;12;3343,5;3344,5;3343;3343,5;341;53,7727;;;;
17;9;3343,5;3345;3343;3344;826;55,9279;;;;
17;6;3343;3344,5;3342,5;3344;706;55,9279;;;;
17;3;3343;3344;3342,5;3343;214;52,6557;;;;
17;0;3344;3344;3343;3343;294;52,6557;;;;
16;57;3343;3344;3342,5;3343,5;463;54,3969;;;;
16;54;3343,5;3344;3342;3342,5;717;51,4131;;;;
16;51;3344;3344,5;3342,5;3343;1000;53,0238;;;;
16;48;3343,5;3345;3343;3344;1030;56,2996;;;;
16;45;3342,5;3343,5;3341;3343;961;53,6401;;;;
16;42;3341,5;3342,5;3341,5;3342,5;531;52,2921;;;;
16;39;3341,5;3343;3340,5;3341,5;861;49,5688;;;;
16;36;3342,5;3343;3341;3341,5;703;49,5688;;;;
16;33;3342;3343,5;3341,5;3343;1417;53,5201;;;;
16;30;3339,5;3342,5;3339,5;3342;2031;51,1075;;;;
16;27;3339;3340,5;3339;3340;730;45,8913;;;;
16;24;3339,5;3339,5;3338,5;3339;321;43,0715;;;;
16;21;3340;3340,5;3339;3339,5;555;44,1395;;;;
16;18;3338;3340,5;3338;3340;1023;45,1797;;;;
16;15;3340,5;3340,5;3337,5;3338,5;609;41,3278;;;;
16;12;3338,5;3340,5;3338;3340,5;1335;45,2657;;;;
16;9;3339,5;3340;3336,5;3338;2477;38,4595;;;;
16;6;3339,5;3341;3339;3339;829;40,3218;;;;
16;3;3341,5;3341,5;3339;3339,5;1518;41,2492;;;;
16;0;3344;3344;3340;3341,5;1426;45,1021;;;;
15;57;3343,5;3344;3342;3344;614;50,5866;;;;
15;54;3342;3344;3341,5;3344;747;50,5866;;;;
15;51;3343;3343,5;3340,5;3342;1068;46,0623;;;;
