Hora,Minuto,Abertura,Máx,Mín,Fechar,WDOZ6 Curncy - Volume,RSI (14) no fechto (WDOZ6)
17,57,3279,3284.863,3278.5,3284.863,232,59.0179
17,54,3280,3284.863,3278.5,3284.863,551,59.0179
17,51,3279.5,3284.863,3279,3284.863,226,59.0179
17,48,3279.5,3284.863,3279,3284.863,149,59.0179
17,45,3280.5,3284.863,3279.5,3284.863,297,59.0179
17,42,3280.5,3284.863,3280,3284.863,163,59.0179
17,39,3281,3284.863,3281,3284.863,313,59.0179
17,36,3279.5,3284.863,3279,3284.863,373,59.0179
17,33,3280,3284.863,3279,3284.863,273,59.0179
17,30,3279.5,3284.863,3279.5,3284.863,553,59.0179
17,27,3280,3284.863,3279.5,3284.863,283,59.0179
17,24,3280.5,3281,3280,3280,298,38.9883
17,21,3280,3280.5,3280,3280.5,104,40.8966
17,18,3279.5,3280.5,3279,3280,342,38.0825
17,15,3278.5,3280,3278,3279.5,609,35.2183
17,12,3281.5,3281.5,3278,3278.5,2051,29.1302
17,9,3282.5,3283,3281.5,3282,539,41.9401
17,6,3282.5,3283,3282.5,3282.5,159,44.5382
17,3,3282,3283,3282,3282.5,158,44.5382
17,0,3282.5,3283,3282,3282.5,201,44.5382
16,57,3282.5,3283,3280.5,3282.5,1036,44.5382
16,54,3282,3283,3282,3282.5,250,44.5382
16,51,3282,3283,3282,3282.5,278,44.5382
16,48,3282,3282.5,3281.5,3282.5,178,44.5382
16,45,3281.5,3283,3281,3281.5,806,40.1222
16,42,3282.5,3282.5,3280,3281.5,1564,40.1222
16,39,3283.5,3284,3282,3282.5,375,43.0798
16,36,3282.5,3284,3282.5,3283.5,592,46.2453
16,33,3283,3283.5,3282.5,3282.5,425,42.309
16,30,3285,3285.5,3282,3283,1422,43.798
16,27,3284.5,3285.5,3284.5,3285,615,50.3844
16,24,3285,3285.5,3284,3285,327,50.3844
16,21,3284,3285.5,3283.5,3285,587,50.3844
16,18,3284.5,3285,3283.5,3284,534,47.2062
16,15,3284,3285,3283.5,3284.5,949,48.6532
16,12,3285,3285,3283.5,3284,554,47.1488
16,9,3284.5,3285.5,3284,3285,607,49.8618
16,6,3285,3285.5,3284,3284.5,876,48.4856
16,3,3287.5,3288,3284.5,3284.5,924,48.4856
16,0,3285.5,3289,3284.5,3287.5,2066,56.5102
15,57,3283,3285.5,3282.5,3285.5,1426,51.5458
15,54,3285,3285,3282.5,3283,1317,44.1452
15,51,3287,3287.5,3284.5,3285,1821,49.7949
15,48,3290.5,3290.5,3286,3286.5,2947,54.6673
15,45,3289,3294,3288.5,3290,4045,69.3756
15,42,3289,3290,3288,3289.5,1396,68.2421
15,39,3288.5,3289.5,3288,3288.5,989,65.8982
15,36,3287,3288.5,3286.5,3288.5,1454,65.8982
15,33,3284.5,3288,3284,3287,2413,62.2992
15,30,3283,3284.5,3283,3284,648,53.1087
15,27,3284,3284,3282,3283,1234,49.2818
15,24,3284,3284.5,3282.5,3284,1706,53.3227
15,21,3282,3285,3282,3284,1323,53.3227
15,18,3283,3283.5,3282,3282,504,45.6355
15,15,3282,3284,3282,3283,747,49.4138
15,12,3281.5,3282.5,3281,3282,1193,45.2009
15,9,3282,3282.5,3281,3282,516,45.2009
15,6,3281.5,3282,3280.5,3282,1317,45.2009
15,3,3285,3285,3281.5,3282,1651,45.2009
15,0,3284.5,3285.5,3284.5,3284.5,1272,53.4791
14,57,3284.5,3285.5,3284.5,3284.5,618,53.4791
14,54,3285,3285.5,3283.5,3284,1636,51.9619
14,51,3283.5,3284.5,3282,3284.5,1443,53.5847
14,48,3280.5,3283.5,3280.5,3283.5,2074,50.727
14,45,3280,3281,3279,3281,692,42.5102
14,42,3280,3281,3278.5,3279.5,1449,36.6219
14,39,3282.5,3283,3279.5,3280,1088,37.8209
14,36,3282,3283,3280,3282.5,2464,44.6007
14,33,3282,3282.5,3281,3281.5,891,40.649
14,30,3285,3285,3281,3282,2517,42.0413
14,27,3283,3285.5,3283,3285,1223,51.9566
14,24,3283,3284.5,3282.5,3283.5,1089,46.049
14,21,3284.5,3284.5,3283,3283.5,615,46.049
14,18,3284.5,3284.5,3283.5,3284.5,342,49.5514
14,15,3285,3285.5,3284.5,3284.5,159,49.5514
14,12,3285,3285.5,3285,3285,127,51.2314
14,9,3285,3286,3285,3285,297,51.2314
14,6,3284.5,3285,3284.5,3285,299,51.2314
14,3,3283.5,3285.5,3283,3284.5,1218,49.8706
14,0,3284.5,3286.5,3283.5,3283.5,1029,47.1311
13,57,3284.5,3285,3283,3284.5,783,49.6507
13,54,3286,3287,3284,3284.5,1243,49.6507
13,51,3286,3287.5,3285.5,3286,1166,53.3386
13,48,3285,3286,3284,3286,1201,53.3386
13,45,3283.5,3286,3282.5,3284.5,1471,50.1456
13,42,3283.5,3284.5,3283,3283,1004,46.7629
13,39,3286,3286.5,3283.5,3283.5,995,47.7661
13,36,3285,3286.5,3284,3286,800,53.0499
13,33,3289,3289,3283.5,3285,2645,51.0382
13,30,3288,3289.5,3286,3289,1423,60.698
13,27,3287,3290,3286.5,3287.5,1767,57.9251
13,24,3287.5,3288,3285.5,3287.5,1070,57.9251
13,21,3287.5,3288,3287,3287.5,516,57.9251
13,18,3286,3288,3285.5,3287.5,1708,57.9251
13,15,3288.5,3289,3285,3286,3605,55.5958
13,12,3292.5,3292.5,3288.5,3289,1649,61.9666
13,9,3289.5,3295,3289,3292,3761,69.3454
13,6,3289.5,3290.5,3288.5,3289.5,1618,66.2341
13,3,3292.5,3293,3289.5,3289.5,2604,66.2341
13,0,3293.5,3297.5,3291.5,3292.5,4325,74.0059
12,57,3290,3294,3286.5,3294,5118,78.27
12,54,3282,3291,3281.5,3290,7658,74.6538
