Hora,Minuto,Abertura,Máx,Mín,Fechto,WDOF7 Curncy - Volume,RSI (14) no Fchto (WDOF7)
17,57,3259,3259.5,3259,3259.1,21,48.1245
17,54,3259.5,3259.5,3259,3259.1,6,48.1245
17,51,3259.5,3259.5,3259,3259.1,21,48.1245
17,48,3259.1,3259.5,3259.1,3259.1,38,48.1245
17,42,3259.1,3259.5,3259,3259.1,4,48.1245
17,39,3259.5,3259.5,3259,3259.1,76,48.1245
17,36,3259.5,3259.5,3259,3259.1,4,48.1245
17,33,3259,3259.5,3259,3259.1,9,48.1245
17,30,3259,3259.5,3259,3259.1,36,48.1245
17,27,3259,3259.5,3259,3259.1,100,48.1245
17,24,3259.5,3259.5,3259,3259.1,13,48.1245
17,21,3259,3259.5,3259,3259.1,15,48.1245
17,18,3259,3259.5,3259,3259.1,32,48.1245
17,15,3259,3259.1,3259,3259.1,5,48.1245
17,12,3259.1,3259.1,3259,3259.1,4,48.1245
17,9,3259.1,3259.5,3259.1,3259.1,3,48.1245
17,6,3259.1,3259.1,3259,3259.1,5,48.1245
17,3,3259.5,3259.5,3259.5,3259.5,5,54.9745
17,0,3259,3259.5,3259,3259.5,3,54.9745
16,57,3259,3259.5,3259,3259,50,46.8128
16,54,3259,3259,3259,3259,10,46.8128
16,48,3259.5,3259.5,3259.5,3259.5,1,55.4849
16,45,3259,3259.5,3259,3259,4,46.2366
16,42,3259.5,3259.5,3259,3259.5,12,57.2885
16,39,3259,3259.5,3259,3259.5,5,57.2885
16,36,3259.5,3259.5,3259.5,3259.5,11,57.2885
16,33,3259,3259.5,3259,3259.5,22,57.2885
16,30,3259,3259.5,3259,3259,16,48.0579
16,27,3259,3259.5,3259,3259,19,48.0579
16,24,3259,3259,3259,3259,1,48.0579
16,21,3259.5,3259.5,3259,3259,4,48.0579
16,18,3259,3259,3259,3259,13,48.0579
16,15,3259.5,3259.5,3259,3259.5,10,56.4854
16,12,3259,3259.5,3259,3259,113,48.0214
16,9,3259,3259.5,3259,3259.5,11,58.6068
16,6,3259,3259.5,3259,3259,25,47.9536
16,3,3259.5,3259.5,3259,3259,69,47.9536
16,0,3259,3259,3259,3259,14,47.9536
15,57,3259,3259,3259,3259,9,47.9536
15,54,3259,3259.5,3259,3259,13,47.9536
15,51,3259.5,3259.5,3259,3259,24,47.9536
15,48,3259,3259.5,3259,3259,16,47.9536
15,45,3259,3259,3259,3259,3,47.9536
15,39,3259.5,3259.5,3259,3259,3,47.9536
15,36,3259.5,3259.5,3259,3259,6,47.9536
15,33,3259.5,3259.5,3259,3259,57,47.9536
15,30,3259,3259,3259,3259,10,47.9536
15,27,3259,3259.5,3259,3259.5,56,53.6252
15,24,3259,3259.5,3259,3259,5,47.9038
