Hora,Minuto,Abertura,Máx,Mín,Fechar,WDOZ6 Curncy - Volume,RSI (14) no fechto (WDOZ6)
17,57,3419,3421.991,3416.5,3421.991,751,59.301
17,54,3419.5,3421.991,3418.5,3421.991,510,59.301
17,51,3421,3421.991,3418.5,3421.991,1768,59.301
17,48,3422.5,3422.5,3420,3421.991,1209,59.301
17,45,3422.5,3422.5,3421.5,3421.991,841,59.301
17,42,3422,3423.5,3421.5,3422,802,59.346
17,39,3421.5,3422,3420,3422,1074,59.346
17,36,3422,3422.5,3420.5,3421.5,1001,57.8205
17,33,3421,3422.5,3420.5,3422.5,515,62.1516
17,30,3420.5,3421,3419.5,3421,501,57.7428
17,27,3419,3421,3419,3420.5,615,56.1622
17,24,3419,3419.5,3418.5,3419,302,51.0633
17,21,3418.5,3419.5,3418,3419,390,51.0633
17,18,3419,3419.5,3418,3418.5,430,49.3707
17,15,3419,3421,3418.5,3419,617,51.0089
17,12,3419,3420,3418,3420,991,54.3587
17,9,3421,3421,3419,3419,644,51.3948
17,6,3421,3423,3420.5,3421,1036,58.4431
17,3,3418.5,3422,3418,3421,1027,58.4431
17,0,3417,3420,3417,3418.5,998,51.2351
16,57,3416.5,3417.5,3416,3417,319,46.0185
16,54,3418,3418,3416,3416.5,749,44.1699
16,51,3418,3418.5,3417,3418,318,48.8279
16,48,3416.5,3418.5,3416.5,3418,653,48.8279
16,45,3416,3416.5,3415,3416.5,516,43.7094
16,42,3415,3417,3415,3416,822,41.911
16,39,3416.5,3416.5,3414.5,3415,627,38.2469
16,36,3416.5,3417,3415,3416.5,1191,41.9308
16,33,3417,3417.5,3416,3416,302,40.1464
16,30,3416.5,3417.5,3416.5,3417,672,42.5761
16,27,3418.5,3419.5,3415.5,3417,1937,42.5761
16,24,3420,3420,3418,3419,451,47.5377
16,21,3419,3420,3419,3420,609,50.2569
16,18,3418.5,3420.5,3418,3419,824,47.4666
16,15,3419.5,3420,3417.5,3418.5,1054,46.0619
16,12,3419.5,3421.5,3419,3419.5,1612,48.4688
16,9,3419.5,3420,3417,3419.5,1637,48.4688
16,6,3421,3421.5,3419,3419,1296,47.2811
16,3,3422.5,3424.5,3419,3420.5,3391,50.525
