Hora,Minuto,Abertura,Máx,Mín,Fechar,WDOZ6 Curncy - Volume,RSI (14) no fechto (WDOZ6)
17,57,3245.5,3247.401,3245,3247.401,637,60.3914
17,54,3246,3247.401,3245,3247.401,560,60.3914
17,51,3247,3247.5,3245.5,3247.401,388,60.3914
17,48,3247.5,3247.5,3244,3247.401,1282,60.3914
17,45,3247.5,3248.5,3247.401,3247.401,493,60.3914
17,42,3246.5,3248,3246,3247.401,763,60.3914
17,39,3245.5,3249,3245,3247.401,1646,60.3914
17,36,3247,3247.5,3245.5,3247.401,1059,60.3914
17,33,3246,3247.5,3245.5,3247.401,1471,60.3914
17,30,3244.5,3247.401,3243.5,3247.401,1737,60.3914
17,27,3244.5,3247.401,3243.5,3247.401,792,60.3914
17,24,3244.5,3247.401,3244.5,3247.401,812,60.3914
17,21,3242.5,3245.5,3242,3244,2178,51.7654
17,18,3243.5,3243.5,3242,3242.5,736,47.0419
17,15,3242.5,3244,3242,3243.5,1583,50.0777
17,12,3240,3242.5,3239,3242.5,1633,46.8954
17,9,3241,3242.5,3240,3240,1055,37.6722
17,6,3239.5,3243,3239,3240.5,2367,38.9278
17,3,3238,3243,3237.5,3239,3210,32.677
17,0,3243,3245.5,3235,3237.5,5585,25.6066
16,57,3241,3243,3241,3242.5,531,37.9395
16,54,3242.5,3243,3241,3241.5,714,31.8432
16,51,3242.5,3243,3242,3242.5,570,35.0393
16,48,3244,3244,3241.5,3242,1556,31.8641
16,45,3242.5,3244.5,3242.5,3243.5,703,36.8867
16,42,3244.5,3245,3242.5,3243,2170,33.6495
16,39,3246,3246.5,3244.5,3245,485,41.5687
16,36,3246,3246.5,3245,3246,715,46.6679
16,33,3247,3247,3245.5,3246,783,46.6679
16,30,3247,3247.5,3246,3247,505,52.188
16,27,3247.5,3247.5,3247,3247,215,52.188
16,24,3246.5,3247.5,3246,3247.5,621,54.9922
16,21,3246.5,3246.5,3245.5,3246.5,175,50.0029
16,18,3246,3246.5,3245.5,3246,263,47.29
16,15,3246,3247,3245,3246,1117,47.29
16,12,3246.5,3247,3245,3246.5,1087,49.6111
16,9,3246,3247,3245.5,3247,432,51.9802
16,6,3247.5,3248,3245.5,3246,1532,47.3072
16,3,3248,3248,3247,3247,593,52.0067
16,0,3248,3248.5,3247,3248,580,57.2916
15,57,3247.5,3248.5,3247.5,3248,800,57.2916
15,54,3246.5,3248,3245.5,3247,903,53.1901
15,51,3246,3247,3245.5,3246,482,48.6071
15,48,3248,3248.5,3246,3246.5,1088,50.9218
15,45,3246,3248,3246,3247.5,618,55.8622
15,42,3246,3247,3246,3246,253,48.9658
15,39,3246.5,3247,3245,3246.5,1003,51.4542
15,36,3246.5,3247.5,3246,3246.5,709,51.4542
15,33,3247,3247,3246.5,3246.5,183,51.4542
15,30,3245.5,3247.5,3245,3246.5,1253,51.4542
15,27,3245,3245.5,3245,3245.5,341,47.4859
15,24,3245.5,3246,3244.5,3245,592,45.4143
15,21,3244.5,3245,3244.5,3245,431,45.4142
15,18,3244.5,3245.5,3244,3245,747,45.4142
15,15,3245,3245,3244,3244.5,1488,43.6339
15,12,3245.5,3246,3244.5,3244.5,470,43.6339
15,9,3245.5,3247,3245,3246,1951,47.6544
15,6,3244.5,3246,3244,3246,1234,47.6544
15,3,3243.5,3245,3243,3244.5,1599,43.1367
15,0,3239.5,3244.5,3238.5,3243.5,5798,39.9271
14,57,3246,3246.5,3239,3239,6380,21.3858
14,54,3246.5,3247,3245.5,3246,1079,38.5902
14,51,3247,3247,3246.5,3247,560,43.2004
14,48,3248,3248.5,3247,3247,394,43.2004
14,45,3247.5,3248,3247,3248,530,48.1615
14,42,3248.5,3249,3247.5,3247.5,1005,45.2419
14,39,3247.5,3249,3247,3248,962,47.7385
14,36,3249.5,3249.5,3247.5,3247.5,326,44.9159
14,33,3248.5,3249.5,3248.5,3249,925,52.8706
