Hora;Minuto;Abertura;Máx;Mín;Fechar;WDOZ6 Curncy - Volume;RSI (14) no fechto (WDOZ6)
17;57;3177;3186,535;3175;3186,535;1663;56,4751
17;54;3179,5;3186,535;3176;3186,535;2161;56,4751
17;51;3181;3186,535;3180;3186,535;439;56,4751
17;48;3181;3186,535;3180;3186,535;288;56,4751
17;45;3181;3186,535;3180;3186,535;379;56,4751
17;42;3181,5;3186,535;3180;3186,535;545;56,4751
17;39;3180,5;3186,535;3180,5;3186,535;780;56,4751
17;36;3180,5;3186,535;3180;3186,535;491;56,4751
17;33;3181;3186,535;3179,5;3186,535;989;56,4751
17;30;3182;3186,535;3181;3186,535;926;56,4751
17;27;3180;3186,535;3180;3186,535;901;56,4751
17;24;3179,5;3186,535;3179,5;3186,535;101;56,4751
17;21;3182,5;3186,535;3179;3186,535;1344;56,4751
17;18;3181,5;3186,535;3181;3186,535;777;56,4751
17;15;3181;3181,5;3180,5;3181,5;498;38,1019
17;12;3180;3181,5;3180;3180,5;1221;32,8762
17;9;3181;3181,5;3179;3180;2965;30,1378
17;6;3183;3183,5;3181;3181;2228;32,6084
17;3;3183,5;3184;3182,5;3183;479;38,4641
17;0;3184,5;3185;3183;3184;1155;41,9628
16;57;3184,5;3188;3183;3184,5;5660;43,8131
16;54;3184,5;3184,5;3183;3184,5;853;43,8131
16;51;3185;3185,5;3182,5;3184,5;1535;43,8131
16;48;3185,5;3186,5;3185;3185;528;45,4165
16;45;3186;3186,5;3185;3185,5;788;47,0141
16;42;3186;3186,5;3185;3186,5;1050;50,3002
16;39;3185;3186;3184,5;3186;1126;48,6333
16;36;3182,5;3185;3182;3185;1223;45,2212
16;33;3183,5;3184;3182,5;3182,5;450;35,2342
16;30;3184;3184,5;3182,5;3183,5;842;37,7934
16;27;3184;3185,5;3183;3184;2283;39,1124
16;24;3183;3185;3182,5;3184,5;1889;40,4225
16;21;3182,5;3183;3181;3182,5;3177;31,9577
16;18;3183,5;3184;3182;3182,5;1364;31,9577
16;15;3186;3186;3182;3183;4192;32,9674
16;12;3185;3187;3185;3185,5;1192;38,6347
16;9;3186,5;3187,5;3185;3185;1583;36,611
16;6;3185,5;3187;3185;3187;1777;41,7214
16;3;3186;3186,5;3183,5;3185,5;3019;35,4459
16;0;3186,5;3188;3185;3186;2401;36,6681
15;57;3186;3187;3185;3186;3688;36,6681
15;54;3187,5;3188;3186;3186;2925;36,6681
15;51;3189,5;3190;3187,5;3188;1600;41,2197
15;48;3190,5;3190,5;3188,5;3189,5;1685;45,1202
15;45;3192;3192;3190;3190;782;46,4816
15;42;3191;3192;3190,5;3192;1352;52,3485
15;39;3190,5;3192,5;3190;3191;2222;49,3822
15;36;3193;3193;3190;3190;1718;46,2769
15;33;3191;3194,5;3191;3193;4094;55,8159
15;30;3190,5;3192,5;3190,5;3191,5;2374;51,1398
15;27;3188,5;3191;3188;3191;1642;49,4851
15;24;3188,5;3189,5;3188;3188,5;1243;40,0603
15;21;3188;3189;3187,5;3188,5;1578;40,0603
15;18;3188;3188;3186,5;3188;1582;38,0676
15;15;3188,5;3189;3187;3188,5;1864;39,2802
15;12;3192;3192,5;3187,5;3188,5;4096;39,2802
15;9;3190,5;3192,5;3189,5;3192,5;2783;50,3412
15;6;3193;3193,5;3190;3190,5;2498;42,8724
15;3;3193,5;3194;3192,5;3193;1208;51,9397
15;0;3193,5;3194,5;3193;3193;1403;51,9397
14;57;3194,5;3194,5;3193;3193,5;1490;53,9057
14;54;3195;3196;3193,5;3194;2280;55,8695
14;51;3193,5;3195,5;3193;3195;3378;59,9236
14;48;3192;3195;3191,5;3193,5;3452;55,4176
14;45;3192,5;3193,5;3191,5;3192;1746;50,2204
14;42;3192,5;3194,5;3191,5;3192;2800;50,2204
14;39;3192;3193;3190,5;3192,5;1525;51,9614
14;36;3192,5;3193;3191;3191,5;2008;48,6558
14;33;3190;3192,5;3190;3192,5;2795;51,9769
14;30;3191,5;3192,5;3189,5;3190;3644;42,9346
14;27;3193,5;3193,5;3191;3191;3728;46,1631
14;24;3194,5;3194,5;3192;3193,5;2544;55,9256
14;21;3195;3195;3193;3194;2984;58,2118
14;18;3195,5;3197;3194,5;3195;1633;62,9944
14;15;3194;3196,5;3194;3195,5;1612;65,4926
14;12;3195;3195;3194;3194,5;1314;62,749
14;9;3196,5;3196,5;3194,5;3194,5;1021;62,749
14;6;3195,5;3197;3195;3196,5;1136;72,7192
14;3;3195;3196,5;3194,5;3195,5;801;70,5464
14;0;3194,5;3197;3194;3195;2903;69,4155
13;57;3195;3197;3194;3194,5;2512;68,2846
13;54;3197;3197;3194,5;3194,5;3054;68,2846
13;51;3197;3198,5;3196;3196,5;3595;78,2652
13;48;3192,5;3198;3192;3197;9651;81,014
13;45;3189,5;3194;3189;3192,5;5932;73,126
13;42;3189;3190;3189;3189,5;1307;63,8209
13;39;3189,5;3190;3189;3189;1046;61,7725
13;36;3188;3190;3187,5;3189,5;2313;65,2004
13;33;3187;3188,5;3186,5;3188;1958;58,8372
13;30;3187;3187,5;3186;3187;1768;53,5829
13;27;3187;3187,5;3186;3187;546;53,5829
13;24;3186,5;3188;3186,5;3187;1971;53,5829
13;21;3186,5;3186,5;3185;3186,5;1653;51,0833
13;18;3187;3187,5;3185,5;3186;1029;48,5085
13;15;3186,5;3187,5;3186;3186,5;1002;51,0013
13;12;3187;3188;3186;3187;1391;53,5569
13;9;3187,5;3188;3186,5;3187;1302;53,5569
13;6;3186,5;3188;3185,5;3187;2498;53,5569
13;3;3187,5;3188;3185,5;3186,5;2894;51,6157
13;0;3188,5;3188,5;3187;3187,5;1089;55,9595
12;57;3188;3188,5;3186,5;3188,5;1138;60,7032
12;54;3189;3189;3187,5;3188,5;868;60,7032
12;51;3188,5;3189,5;3187,5;3188,5;1336;60,7032
12;48;3188,5;3189,5;3186,5;3188;2163;59,3228
12;45;3189;3189,5;3186,5;3188;4196;59,3228
12;42;3189;3191;3188,5;3188,5;3932;61,1757
12;39;3188,5;3189,5;3188,5;3189;2727;63,003
12;36;3187;3189;3186;3188,5;4016;61,9476
12;33;3185,5;3187,5;3185;3187;3930;58,6625
12;30;3183,5;3186,5;3183;3185,5;3648;55,0599
12;27;3183;3183,5;3182;3183,5;937;49,6243
12;24;3182;3183,5;3182;3183,5;812;49,6243
12;21;3183;3183,5;3181,5;3182;1677;45,3497
12;18;3180,5;3183;3180,5;3183;1694;47,8639
12;15;3181;3182;3179;3180;5369;38,3411
12;12;3182,5;3183,5;3180,5;3181;2728;40,6386
12;9;3184;3184,5;3181,5;3182,5;2807;44,3394
12;6;3183,5;3184,5;3183;3184;1484;48,4351
12;3;3185;3185,5;3182,5;3183;2496;45,3077
12;0;3185;3185,5;3183,5;3185;2649;51,0588
11;57;3186;3186,5;3182,5;3184,5;4125;49,5729
11;54;3184;3187;3183,5;3186,5;4758;55,8739
11;51;3182;3184,5;3182;3184;2358;48,2371
11;48;3184;3184,5;3181,5;3182,5;4474;42,7133
11;45;3185;3186;3183,5;3184;2080;47,4113
11;42;3185,5;3187;3184;3185,5;2682;52,8044
11;39;3185,5;3186,5;3184,5;3185,5;2164;52,8044
11;36;3185;3187;3185;3185,5;2568;52,8044
11;33;3186,5;3187;3184;3185;6093;51,3268
11;30;3188,5;3189;3186,5;3187;1850;58,081
11;27;3187,5;3189;3186,5;3188;1671;61,8604
11;24;3189;3189;3187;3187,5;1139;60,6722
11;21;3187,5;3189,5;3187;3188,5;2477;64,3981
11;18;3189,5;3190;3187;3187;3699;61,0681
11;15;3190;3190,5;3189;3189,5;2259;71,4042
11;12;3189;3191,5;3189;3190,5;6638;76,1943
11;9;3188;3190;3187,5;3189;5158;73,7406
11;6;3186;3188,5;3185;3188;4420;71,951
11;3;3186,5;3186,5;3185;3186;2167;67,8864
11;0;3184,5;3187;3184,5;3186;4230;67,8864
10;57;3183;3185;3182;3185;2542;65,7464
10;54;3184,5;3185,5;3182,5;3183;3485;60,9086
10;51;3183;3185;3182,5;3185;3068;70,1022
10;48;3181,5;3184,5;3181,5;3183;4828;65,2287
10;45;3181,5;3182;3181;3181,5;1212;60,7759
10;42;3181;3182;3180;3181,5;1823;60,7759
10;39;3180;3181;3179,5;3181;781;59,277
10;36;3180,5;3181;3179;3179,5;1326;54,4256
10;33;3180;3181,5;3180;3180,5;601;58,759
10;30;3179,5;3181;3179,5;3180;849;57,176
10;27;3180,5;3181;3179,5;3180;1400;57,176
10;24;3181;3181;3179,5;3180,5;1634;59,1331
10;21;3180,5;3181;3179,5;3181;841;61,0744
10;18;3181;3181,5;3179,5;3180,5;1485;59,8505
10;15;3183;3183,5;3180,5;3181,5;3550;63,5621
10;12;3179,5;3183,5;3179;3183;4619;69,5715
10;9;3179;3179,5;3178;3179;1358;60,2705
10;6;3179;3179,5;3178;3178,5;1493;58,809
10;3;3180;3180,5;3178,5;3179;3219;60,8888
10;0;3180;3181,5;3179,5;3180;4551;65,169
9;57;3177;3180;3177;3180;2664;65,169
9;54;3178;3178,5;3176;3177;2305;57,4279
9;51;3176,5;3178,5;3176,5;3178;3114;61,6702
9;48;3175;3177;3175;3176,5;2232;57,274
9;45;3175;3176;3174,5;3175;980;52,1813
9;42;3176;3176;3174,5;3175;1359;52,1813
9;39;3174,5;3176,5;3174;3175,5;3106;54,0324
9;36;3172,5;3175;3172;3174;2809;48,9917
9;33;3174;3174;3171,5;3172,5;1911;43,209
9;30;3173;3175;3173;3174;1886;48,2928
9;27;3173;3174;3172;3173;1110;44,2308
9;24;3173,5;3174;3171,5;3173;1425;44,2308
9;21;3172,5;3174;3172;3173;1664;44,2308
9;18;3173,5;3174;3171;3172;1922;40,4877
9;15;3173,5;3174,5;3172;3173,5;2889;44,6631
9;12;3174,5;3175;3172,5;3173,5;1934;44,6631
9;9;3171;3175;3171;3174,5;3144;47,4776
9;6;3170,5;3173,5;3170,5;3171,5;4286;36,2944
9;3;3171,5;3172;3167,5;3171;4742;34,1236
9;0;3166;3171,5;3165;3171;4820;34,1236
