Hora,Minuto,Abertura,Máx,Mín,Fechar,WDOZ6 Curncy - Volume,RSI (14) no fechto (WDOZ6)
17,57,3283,3283,3278.196,3278.196,196,47.5106
17,54,3282.5,3283,3278.196,3278.196,486,47.5106
17,51,3282,3283,3278.196,3278.196,137,47.5106
17,48,3282,3284,3278.196,3278.196,706,47.5106
17,45,3281.5,3282.5,3278.196,3278.196,266,47.5106
17,42,3280,3282,3278.196,3278.196,729,47.5106
17,39,3280,3281,3278.196,3278.196,81,47.5106
17,36,3280.5,3281,3278.196,3278.196,413,47.5106
17,33,3277.5,3281,3277.5,3278.196,358,47.5106
17,30,3278.5,3278.5,3277,3278.196,266,47.5106
17,27,3278.5,3279,3277.5,3278.196,457,47.5106
17,24,3280,3280,3278.196,3278.196,516,47.5106
17,21,3278.5,3281.5,3278.196,3278.196,1196,47.5106
17,18,3280,3280.5,3278.196,3278.196,534,47.5106
17,15,3281,3281,3278.196,3278.196,337,47.5106
17,12,3282,3282,3278.196,3278.196,325,47.5106
17,9,3282.5,3283,3278.196,3278.196,140,47.5106
17,6,3282.5,3283.5,3278.196,3278.196,584,47.5106
17,3,3280.5,3283,3280,3282.5,911,65.4643
17,0,3279.5,3281,3279,3280.5,317,58.7359
16,57,3280.5,3281,3279,3279.5,213,54.6322
16,54,3280.5,3281,3280,3280.5,402,60.1906
16,51,3280,3281,3280,3280.5,279,60.1906
16,48,3280,3281,3279.5,3280,304,58.3643
16,45,3279.5,3280.5,3279.5,3280,180,58.3643
16,42,3279.5,3280,3279,3279.5,624,56.6495
16,39,3279.5,3280.5,3279,3279,517,54.9257
16,36,3278,3279,3277,3279,410,54.9257
16,33,3279,3279.5,3278,3278,398,51.6073
16,30,3275.5,3280,3275.5,3279,1230,55.3942
16,27,3276.5,3277,3274.5,3275.5,630,41.4252
16,24,3277,3277,3276.5,3276.5,89,45.1788
16,21,3276.5,3277.5,3276.5,3277,271,47.163
16,18,3276,3276.5,3275.5,3276.5,239,44.9166
16,15,3276,3276,3275,3275.5,271,40.1946
16,12,3274.5,3276,3274,3275.5,461,40.1946
16,9,3274.5,3275.5,3273.5,3274.5,729,35.4212
