Hora;Minuto;Abertura;Máx;Mín;Fechar;WDOZ6 Curncy - Volume;RSI (14) no fechto (WDOZ6)
17;57;3517,587;3534;3517,587;3517,587;208;39,2261
17;54;3532;3532,5;3517,587;3517,587;571;39,2261
17;51;3531,5;3534;3517,587;3517,587;906;39,2261
17;48;3531;3531,5;3530;3531;371;60,3439
17;45;3529,5;3531,5;3528,5;3531,5;662;61,4897
17;42;3528;3530;3526,5;3530;683;59,3389
17;39;3529;3529,5;3527;3528;478;56,3183
17;36;3533;3533;3528;3528,5;1182;57,3065
17;33;3528,5;3532,5;3528;3532,5;938;65,8965
17;30;3525,5;3529;3525;3529;679;61,167
17;27;3524;3526;3523,5;3525,5;445;55,4272
17;24;3522;3524;3521;3524;798;52,6415
17;21;3524,5;3525;3521,5;3522;419;48,6697
17;18;3524,5;3526;3523,5;3524,5;385;53,9185
17;15;3526;3527,5;3524;3524,5;723;53,9185
17;12;3527,5;3530;3526;3526;1796;57,1045
17;9;3522,5;3528;3521,5;3527,5;1555;60,4196
17;6;3520,5;3522,5;3520,5;3522,5;456;51,7494
17;3;3520,5;3521,5;3519;3520,5;383;47,4759
17;0;3521,5;3521,5;3519,5;3520;242;46,3733
16;57;3519,5;3521,5;3519;3521;593;48,2545
16;54;3521;3522;3518,5;3519;1057;44,0384
16;51;3521;3522;3520,5;3521,5;188;48,6383
16;48;3520,5;3522,5;3519,5;3521;702;47,6223
16;45;3523,5;3524;3517,5;3521;2803;47,6223
16;42;3525,5;3526;3522,5;3523,5;822;52,0623
16;39;3522,5;3526,5;3522,5;3525;866;54,9148
16;36;3527;3528;3522,5;3522,5;1956;50,7376
16;33;3520;3529,5;3520;3527;3158;60,0346
16;30;3523,5;3524;3520;3520,5;1236;47,0116
16;27;3523,5;3526,5;3522,5;3523;2110;53,2033
16;24;3523;3524;3522;3523,5;1267;54,5372
16;21;3521,5;3523,5;3521;3523;1194;53,4535
16;18;3521;3522;3520,5;3521,5;1045;50,1429
16;15;3518,5;3521,5;3518;3521,5;1440;50,1429
