Hora,Minuto,Abertura,Máx,Mín,Fechar,WDOZ6 Curncy - Volume,RSI (14) no fechto (WDOZ6)
17,57,3548.5,3555,3533.078,3533.078,240,32.9133
17,54,3548,3549,3533.078,3533.078,445,32.9133
17,51,3549.5,3549.5,3533.078,3533.078,320,32.9134
17,48,3549,3550,3533.078,3533.078,1255,32.9134
17,45,3548.5,3549.5,3533.078,3533.078,487,32.9133
17,42,3549,3550,3533.078,3533.078,347,32.9133
17,39,3548.5,3551,3548,3549.5,690,78.2315
17,36,3548,3550,3548,3548.5,548,76.3936
17,33,3547.5,3549.5,3547.5,3548,729,75.4305
17,30,3547,3548,3546.5,3547.5,556,74.4631
17,27,3547.5,3547.5,3546,3547,460,73.4939
17,24,3546,3548,3545.5,3547.5,740,76.1785
17,21,3544,3547,3544,3545.5,824,72.4392
17,18,3543.5,3544,3542.5,3544,313,69.0566
17,15,3545,3545,3543,3544,503,69.0566
17,12,3543.5,3545,3543.5,3545,826,74.2984
17,9,3542.5,3544,3542,3543,739,70.0807
17,6,3542,3543,3541.5,3542.5,514,68.8958
17,3,3542,3542.5,3540.5,3541.5,713,66.4265
17,0,3540.5,3542,3540,3541.5,552,66.4265
16,57,3540,3541.5,3539,3540.5,931,63.9594
16,54,3539.5,3540.5,3538.5,3540,456,62.6864
16,51,3539.5,3540.5,3538.5,3539.5,425,61.421
16,48,3539.5,3540,3538,3539.5,513,61.421
16,45,3541,3541.5,3539,3539,621,60.259
16,42,3539.5,3541,3539,3541,450,67.8498
16,39,3541,3542,3539.5,3540,757,65.8527
16,36,3539.5,3543,3539,3541,2957,69.8837
16,33,3538.5,3539.5,3537.5,3539.5,732,67.0766
16,30,3538.5,3539,3537.5,3538,674,63.9571
16,27,3536.5,3539,3536.5,3538.5,1276,65.8895
16,24,3534.5,3537,3534.5,3536.5,1066,61.5776
16,21,3534.5,3535,3534,3535,312,57.8686
16,18,3534,3535,3533.5,3534.5,699,56.571
16,15,3534,3535,3532.5,3534,715,55.2924
16,12,3534.5,3535,3532,3534.5,1542,56.8465
16,9,3536,3537.5,3534,3534.5,1770,56.8465
16,6,3536,3537.5,3536,3536,737,61.3036
16,3,3535,3537.5,3535,3536.5,1372,62.8283
16,0,3532.5,3536,3532.5,3535.5,770,61.0282
15,57,3533.5,3535,3532,3532.5,1063,54.9507
15,54,3533.5,3535,3532.5,3533.5,890,57.7376
15,51,3531,3534,3530.5,3533,1407,56.7185
15,48,3530,3532.5,3529.5,3531,1015,52.4604
15,45,3529,3531,3528.5,3530.5,706,51.3493
15,42,3529.5,3532,3529,3529.5,791,49.1418
15,39,3529,3533,3528.5,3529.5,2333,49.1418
15,36,3528,3530.5,3527,3528.5,1402,47.0709
15,33,3533,3534,3527.5,3528,3146,46.0511
15,30,3532.5,3534.5,3530.5,3533.5,1332,57.3357
15,27,3534,3534.5,3532,3532,1252,54.5129
15,24,3535,3536.5,3533,3534.5,1463,60.7316
15,21,3531,3537,3531,3535,2414,62.0461
15,18,3530.5,3532,3529.5,3531,742,54.7745
15,15,3532,3532.5,3529,3530.5,672,53.7459
15,12,3531,3532.5,3530,3532,1123,57.3814
15,9,3531,3532.5,3525.5,3531.5,2605,56.47
15,6,3533,3533,3529,3530.5,1326,54.6697
15,3,3534.5,3535,3530.5,3532.5,1747,59.2181
15,0,3535,3536.5,3533,3534.5,1567,64.176
14,57,3534.5,3537,3534.5,3535,757,65.4481
14,54,3531.5,3538,3531.5,3534.5,4802,64.8002
14,51,3527,3533.5,3527,3531.5,2402,60.6941
14,48,3524.5,3527.5,3524,3527.5,1139,54.059
14,45,3527,3528,3523.5,3524.5,1932,47.9386
14,42,3529.5,3529.5,3526,3526.5,1465,52.2476
14,39,3531,3532,3528.5,3530,1217,61.1842
14,36,3529.5,3533,3529,3531,1580,64.0927
14,33,3527,3530.5,3527,3529.5,1941,61.5467
14,30,3526,3527.5,3523,3527,919,56.8068
14,27,3524,3527.5,3524,3526,901,54.7344
14,24,3523,3525,3522,3524,518,50.3064
14,21,3524.5,3524.5,3523,3523.5,512,49.1518
14,18,3524,3526,3523,3524.5,621,51.3685
14,15,3525,3526,3522,3524.5,1025,51.3685
14,12,3526,3527,3524.5,3525,519,52.387
14,9,3525,3526.5,3523.5,3526.5,1238,55.45
14,6,3526.5,3528,3525,3525,740,52.8925
14,3,3526.5,3527,3525.5,3526,703,54.8414
14,0,3528.5,3529,3526.5,3527,1131,56.7843
13,57,3522,3529,3521.5,3528.5,2827,59.7319
13,54,3520,3521.5,3517.5,3521.5,1164,48.0457
13,51,3518,3520,3517.5,3519.5,470,43.7118
13,48,3518,3518.5,3516.5,3518,473,40.2401
13,45,3518,3519.5,3517,3518,391,40.2401
13,42,3519.5,3519.5,3516.5,3518,679,40.2401
13,39,3516,3520,3516,3519,1272,41.61
13,36,3520.5,3520.5,3516,3516.5,1914,36.5997
13,33,3521,3522.5,3520,3520,845,41.195
13,30,3523.5,3524,3520.5,3520.5,609,41.8927
13,27,3520,3524,3520,3524,953,47.0754
13,24,3521.5,3522.5,3518.5,3520,1339,39.077
13,21,3524,3524.5,3521,3521.5,1290,41.2476
13,18,3525.5,3526.5,3523,3524.5,850,45.9922
13,15,3526,3527,3525,3525.5,797,47.6902
13,12,3527,3527.5,3524.5,3525.5,436,47.6902
13,9,3525,3527,3524.5,3527,839,50.0815
13,6,3525,3526,3524.5,3525,993,46.7773
13,3,3526,3527.5,3524,3524.5,992,45.9468
13,0,3526,3527.5,3524.5,3525.5,888,47.3181
12,57,3525,3526.5,3523,3526,1589,47.983
12,54,3529,3529,3524.5,3525,987,46.5892
12,51,3531,3531,3526.5,3529,696,51.7387
12,48,3527.5,3531.5,3526,3531.5,1352,55.285
12,45,3532,3532.5,3526.5,3527,1238,49.4994
12,42,3530.5,3533.5,3530,3532,970,57.1254
12,39,3529,3532.5,3528.5,3530.5,2592,55.2028
12,36,3528,3529,3527,3528.5,1422,52.5695
12,33,3523,3528.5,3522.5,3528,2341,51.9134
12,30,3521,3523,3518.5,3522.5,3265,43.9999
12,27,3524.5,3526,3520.5,3521,2331,41.5646
12,24,3528,3528.5,3524,3524.5,1151,45.8884
12,21,3526,3528.5,3524,3528.5,1674,51.5829
12,18,3530.5,3530.5,3525.5,3525.5,1310,47.0027
12,15,3529,3533,3528.5,3530,2210,54.1358
12,12,3525.5,3529.5,3525,3529,1101,52.6531
12,9,3526,3527,3524,3525.5,1728,47.0946
12,6,3528,3528,3524.5,3526,3054,47.8396
12,3,3530,3533.5,3526.5,3528,2509,50.8261
12,0,3530,3531,3528,3530,3692,53.9537
11,57,3536.5,3537,3529.5,3529.5,5882,53.2864
11,54,3537,3539,3535,3537,1768,66.7625
11,51,3537,3539.5,3534,3537.5,1994,67.8244
11,48,3537,3539,3535.5,3537,951,67.3421
11,45,3537.5,3538,3534.5,3536.5,1226,66.8811
11,42,3534.5,3539.5,3534.5,3537.5,3270,68.6816
11,39,3532.5,3536,3532,3534,1514,65.6787
11,36,3537.5,3538,3532.5,3532.5,2564,64.3172
11,33,3532,3537.5,3531,3537.5,3350,73.3202
11,30,3533,3536,3530.5,3532,3204,68.8691
11,27,3533,3533.5,3530,3533,2071,70.8651
11,24,3529,3534,3528.5,3533.5,4213,71.8317
11,21,3528,3530.5,3525,3529.5,2532,68.6558
11,18,3525.5,3528,3523,3528,2569,67.3749
11,15,3523,3526,3522.5,3525.5,1665,65.1723
11,12,3527.5,3528,3522.5,3523,3559,62.8429
11,9,3530.5,3531,3527.5,3527.5,3429,70.7524
11,6,3524,3532,3523,3530.5,6160,76.7308
