Hora;Minuto;Abertura;Máx;Mín;Fechar;WDOZ6 Curncy - Volume;RSI (14) no fechto (WDOZ6)
17;57;3468,5;3476,381;3465,5;3476,381;178;61,2289
17;54;3470,5;3476,381;3466;3476,381;928;61,2289
17;51;3471;3476,381;3470,5;3476,381;294;61,2289
17;48;3469;3476,381;3469;3476,381;620;61,2289
17;45;3470,5;3476,381;3468,5;3476,381;287;61,2289
17;42;3469,5;3476,381;3469,5;3476,381;380;61,2289
17;39;3469,5;3470,5;3468,5;3470;472;40,8382
17;36;3468,5;3469,5;3468;3469;254;35,9352
17;33;3471;3471,5;3468;3468,5;733;33,3715
17;30;3471,5;3471,5;3471;3471;167;40,9866
17;27;3471,5;3472;3471,5;3471,5;254;42,8004
17;24;3471,5;3472;3471;3471,5;170;42,8004
17;21;3472;3472,5;3471,5;3472;351;44,4983
17;18;3471;3472;3470,5;3471,5;131;42,3756
17;15;3470,5;3471,5;3470,5;3471;311;40,2537
17;12;3471,5;3472;3470,5;3471;282;40,2537
17;9;3470,5;3471,5;3470,5;3471,5;131;41,5737
17;6;3471,5;3471,5;3470,5;3470,5;219;37,785
17;3;3471;3471,5;3471;3471,5;129;40,2059
17;0;3472;3472,5;3470,5;3471;783;38,3726
16;57;3473;3473,5;3472;3472,5;476;41,9561
16;54;3475;3475;3472;3473;654;43,205
16;51;3474,5;3475;3473,5;3474,5;440;47,1114
16;48;3472,5;3475,5;3472,5;3475;1420;48,4678
16;45;3470,5;3472,5;3470,5;3472,5;605;40,5163
16;42;3471;3471,5;3470;3470,5;591;32,8154
16;39;3471,5;3472,5;3470,5;3470,5;707;32,8154
16;36;3470,5;3472;3470;3471;476;33,7574
16;33;3473,5;3474;3469,5;3470,5;1053;31,9432
16;30;3472;3474;3471;3474;894;38,8613
16;27;3473,5;3473,5;3472;3472;476;30,9231
16;24;3474;3474;3472,5;3473;229;32,9068
16;21;3473;3474;3471,5;3473,5;971;33,917
16;18;3473;3473;3472;3473;307;31,978
16;15;3473,5;3474,5;3471;3472,5;1589;30,0728
16;12;3473,5;3474,5;3473;3473,5;395;31,7229
16;9;3474;3474,5;3473,5;3473,5;396;31,7229
16;6;3475,5;3476;3473,5;3474;808;32,4915
16;3;3477;3479,5;3475;3475,5;1084;34,8433
16;0;3475,5;3477;3474,5;3477;901;37,3539
15;57;3477;3478;3475,5;3475,5;610;32,8619
15;54;3477,5;3477,5;3474;3477;1089;35,206
15;51;3474,5;3478;3472;3477;2096;35,206
15;48;3477;3477,5;3473,5;3474,5;1875;27,8053
15;45;3478;3479,5;3476,5;3477,5;678;31,8603
15;42;3478;3479,5;3476,5;3478;1531;32,5959
15;39;3478;3482;3478;3478;2425;32,5959
15;36;3482;3483,5;3477;3478,5;2371;33,2581
15;33;3485;3485,5;3481,5;3482;2076;38,3176
15;30;3485,5;3487;3484,5;3485,5;915;44,6209
15;27;3485,5;3487;3484;3486;1211;45,6163
15;24;3487;3487;3484,5;3485,5;2105;44,4659
15;21;3489,5;3491,5;3486;3487;1918;47,2502
15;18;3488,5;3490;3487,5;3489,5;960;52,3203
15;15;3493;3493,5;3487,5;3489;2077;51,3508
15;12;3491;3493;3491;3493;503;60,4871
15;9;3491;3492,5;3490,5;3491,5;854;57,8775
15;6;3492,5;3493,5;3490,5;3491;1056;56,9984
15;3;3491;3492,5;3490,5;3492,5;522;60,5166
15;0;3493,5;3494;3490;3491;1948;58,116
14;57;3495;3496;3493;3493;991;62,8469
14;54;3493,5;3495,5;3492,5;3494,5;1231;66,624
14;51;3487,5;3494,5;3487,5;3493;2435;64,6513
14;48;3487;3489;3487;3487,5;1029;55,7455
14;45;3485;3488,5;3485;3487;855;54,7838
14;42;3486;3486,5;3484,5;3485;263;50,814
14;39;3485;3487;3484,5;3486;498;52,9733
14;36;3484,5;3485,5;3482,5;3485;429;51,0414
14;33;3485;3485;3484;3484;192;49,0998
14;30;3485;3485;3483,5;3485;290;50,9771
14;27;3483;3486;3483;3485,5;567;51,8984
14;24;3482;3484;3482;3483,5;470;48,4371
14;21;3482;3482,5;3480,5;3481,5;483;44,7451
14;18;3480,5;3482,5;3480;3482;630;45,5014
14;15;3482;3482;3480,5;3480,5;496;42,8085
14;12;3486;3486,5;3481;3481,5;1178;44,1593
14;9;3482,5;3486,5;3481;3485,5;1052;50,0219
14;6;3483;3485;3482;3482;551;43,9791
14;3;3487;3487,5;3482;3482,5;1171;44,6959
14;0;3485,5;3487,5;3485,5;3487;342;51,745
13;57;3489,5;3490;3485,5;3486;917;50,1218
13;54;3486;3489,5;3484,5;3489;1428;55,3041
13;51;3482,5;3486,5;3482,5;3485,5;1243;49,6661
13;48;3481,5;3485;3480,5;3483;1232;45,0705
13;45;3482,5;3483;3480;3481,5;544;42,1265
13;42;3479;3482,5;3478,5;3482,5;1061;43,5721
13;39;3479;3480,5;3478,5;3479;1665;36,4888
13;36;3482,5;3482,5;3476,5;3478,5;2350;35,4133
13;33;3485,5;3486,5;3482;3482,5;983;40,5091
13;30;3489;3489;3485,5;3486;625;45,8723
13;27;3490;3491;3488,5;3489,5;421;52,3022
13;24;3488;3490,5;3487;3490;691;53,2931
13;21;3486,5;3488,5;3485,5;3488;1083;49,7575
13;18;3486;3487,5;3485;3486,5;457;46,9613
13;15;3483,5;3487;3483;3486;898;46,0317
13;12;3484;3485;3483,5;3484;596;42,2735
13;9;3483;3484,5;3481,5;3484;906;42,2735
13;6;3485,5;3485,5;3481,5;3483,5;1533;41,3937
13;3;3489,5;3489,5;3485;3485;1521;43,229
13;0;3489,5;3490,5;3487,5;3490;727;50,1049
12;57;3487,5;3490;3487,5;3489,5;604;49,3569
12;54;3490;3491,5;3486,5;3487,5;1149;46,3708
12;51;3494,5;3494,5;3489,5;3490,5;983;50,5199
12;48;3491,5;3495;3491;3494;2201;55,9427
12;45;3489,5;3492;3488,5;3492;1099;53,2818
12;42;3496;3496;3488;3490;2024;50,5061
12;39;3495,5;3496;3492,5;3495,5;1432;59,5392
12;36;3499,5;3500;3495,5;3496;1288;60,4518
12;33;3496,5;3500,5;3496,5;3500;1411;68,2204
12;30;3495,5;3498,5;3493,5;3497;2585;65,0966
12;27;3493,5;3496,5;3493,5;3495,5;2059;63,4276
12;24;3493,5;3496;3493;3493,5;1348;61,1261
12;21;3497;3498;3492,5;3494;2557;62,0323
12;18;3490;3498,5;3489,5;3496,5;3506;66,6177
12;15;3484,5;3491;3483;3489;5400;57,9612
12;12;3484;3485,5;3482,5;3485;1002;51,767
12;9;3483,5;3484;3481,5;3483,5;810;49,1584
12;6;3483,5;3484;3481;3483,5;1510;49,1584
