Hora;Minuto;Abertura;Máx;Mín;Fechar;WDOZ6 Curncy - Volume;RSI (14) no fechto (WDOZ6)
17;57;3385;3395,595;3381,5;3395,595;469;54,4809
17;54;3385,5;3395,595;3379;3395,595;1723;54,4809
17;51;3386;3395,595;3385;3395,595;798;54,4809
17;48;3386;3395,595;3384,5;3395,595;600;54,4809
17;45;3387,5;3395,595;3385,5;3395,595;886;54,4809
17;42;3389;3395,595;3387;3395,595;555;54,4809
17;39;3389,5;3395,595;3388,5;3395,595;624;54,4809
17;36;3390,5;3395,595;3389,5;3395,595;257;54,4809
17;33;3391,5;3395,595;3389,5;3395,595;323;54,4809
17;30;3389;3395,595;3388,5;3395,595;1167;54,4809
17;27;3390;3395,595;3387;3395,595;1590;54,4809
17;24;3390;3395,595;3390;3395,595;499;54,4809
17;21;3391;3395,595;3390;3395,595;220;54,4809
17;18;3390,5;3395,595;3389,5;3395,595;465;54,4809
17;15;3392;3395,595;3390;3395,595;400;54,4809
17;12;3391,5;3395,595;3391;3395,595;515;54,4809
17;9;3390;3395,595;3390;3395,595;1319;54,4809
17;6;3389,5;3391,5;3389;3390;787;37,571
17;3;3390;3391;3389;3389,5;982;35,5853
17;0;3392;3393;3389,5;3390;1423;36,6683
16;57;3391,5;3392,5;3390,5;3391,5;1419;40,0651
16;54;3392;3392,5;3389;3391;3188;38,2958
16;51;3394,5;3395,5;3392;3392;1107;40,5171
16;48;3393,5;3394,5;3393;3394;374;45,4084
16;45;3394;3394;3393;3394;341;45,4084
16;42;3392,5;3395;3392;3393,5;1320;43,9498
16;39;3392,5;3393;3392;3392,5;534;41,0234
16;36;3393;3393,5;3392,5;3392,5;607;41,0234
16;33;3393,5;3394;3392;3392,5;556;41,0234
16;30;3394,5;3395;3392;3393,5;1053;42,8131
16;27;3394;3395;3393;3394,5;751;44,6207
16;24;3396;3396,5;3392,5;3394;1679;43,5134
16;21;3400;3400;3395,5;3395,5;1388;46,08
16;18;3395;3400;3395;3399,5;2864;53,9613
16;15;3393,5;3395,5;3393;3395;1018;43,9461
16;12;3395;3395,5;3391;3393;2442;38,4173
16;9;3395;3395,5;3394,5;3395,5;427;43,3842
16;6;3394;3395;3393;3395;1782;41,9914
16;3;3396;3397;3394;3394,5;1262;40,6353
16;0;3396,5;3397;3395,5;3396;349;43,4659
15;57;3396;3398;3395,5;3396;1753;43,4659
15;54;3394;3396,5;3393;3396,5;1186;44,354
15;51;3396;3396,5;3393,5;3393,5;854;37,2063
15;48;3395;3396,5;3394,5;3396;665;41,3126
15;45;3393,5;3396;3393;3394,5;1642;37,4676
15;42;3397,5;3397,5;3393;3394;1731;36,1732
15;39;3395,5;3398;3394,5;3397,5;957;41,7966
15;36;3397,5;3397,5;3394;3395;1463;35,1054
15;33;3397;3400;3397;3397,5;1860;39,3008
15;30;3394,5;3398,5;3394;3397,5;1987;39,3008
15;27;3396;3396;3393,5;3394,5;2307;30,7359
15;24;3397;3398;3395,5;3396,5;1299;33,6776
15;21;3399;3399,5;3396;3397;1213;34,4429
15;18;3397;3399,5;3395,5;3399,5;2251;38,5052
15;15;3402,5;3403;3397;3397,5;3182;32,5999
15;12;3403,5;3404;3402;3402,5;796;41,9522
15;9;3403,5;3406;3403;3404;831;45,596
15;6;3404,5;3404,5;3402,5;3403,5;617;44,093
15;3;3405,5;3405,5;3403,5;3404;567;45,2539
15;0;3403,5;3406;3403,5;3405;779;47,5805
14;57;3404;3404,5;3403;3403,5;777;43,5373
14;54;3404;3404;3401;3404;1385;44,6021
14;51;3405;3405;3402;3404;1715;44,6021
14;48;3407,5;3408;3404;3405;1251;46,5662
14;45;3406;3408,5;3405,5;3407,5;895;51,8684
14;42;3410,5;3410,5;3405,5;3406,5;1660;49,7429
14;39;3409,5;3411,5;3409,5;3410;972;58,0783
14;36;3412;3412,5;3409;3409,5;1163;57,1253
14;33;3411,5;3414;3410,5;3412;1128;63,8664
14;30;3409;3413,5;3408,5;3411,5;3305;63,0568
14;27;3409;3409;3408;3409;496;58,7673
14;24;3409;3409,5;3408;3408,5;948;57,8586
14;21;3406;3409,5;3405,5;3409;2406;59,0674
14;18;3403;3406,5;3402;3405,5;1098;52,6355
14;15;3403,5;3403,5;3401,5;3403;817;47,1248
14;12;3402,5;3404;3400,5;3403,5;1276;48,1655
14;9;3402;3403;3400,5;3402,5;773;45,9486
14;6;3404;3404,5;3400;3402;2236;44,8536
14;3;3406,5;3406,5;3403,5;3404,5;716;49,5105
14;0;3406;3407;3405,5;3406,5;548;53,6483
13;57;3406,5;3407;3404,5;3406;500;52,7312
13;54;3404,5;3407,5;3404,5;3407;818;54,7426
13;51;3405;3406,5;3403;3404,5;1239;50,3457
13;48;3409;3409,5;3405;3405;1149;51,2708
13;45;3407,5;3409;3406,5;3409;1070;59,3752
13;42;3409;3409,5;3407,5;3407,5;1007;57,0088
13;39;3407,5;3409,5;3405,5;3409;1910;60,2686
13;36;3405,5;3408;3405;3407,5;1792;58,0407
13;33;3403;3406,5;3402,5;3405,5;1431;54,9104
13;30;3403,5;3405,5;3402;3402,5;2032;49,6818
13;27;3401;3404,5;3399,5;3404;2388;52,5088
13;24;3396,5;3402;3396;3401,5;1698;47,9227
13;21;3396;3398;3396;3396,5;487;36,542
13;18;3397,5;3398;3395;3396;745;35,2276
13;15;3396,5;3398,5;3396;3397,5;807;37,3847
13;12;3394,5;3397,5;3394,5;3396;1067;33,6099
13;9;3394,5;3396,5;3393,5;3394,5;1678;29,6729
13;6;3394,5;3396;3393;3394,5;1691;29,6729
13;3;3399;3400;3394,5;3394,5;1403;29,6729
13;0;3399,5;3400;3397;3399,5;1536;35,252
12;57;3401,5;3402;3399;3399,5;1288;35,252
12;54;3402;3404,5;3401;3401,5;1318;37,6966
12;51;3400,5;3402;3400,5;3402;557;38,3133
12;48;3399;3401;3398,5;3400;782;34,322
12;45;3399;3401,5;3398,5;3399;861;32,2879
12;42;3401,5;3402,5;3398,5;3398,5;1310;31,3001
12;39;3398,5;3402;3395;3401,5;3301;34,0693
12;36;3396,5;3403;3396;3398,5;3473;28,168
12;33;3398;3398,5;3396;3396,5;1818;23,9544
12;30;3406,5;3407;3391,5;3398;6994;24,9747
12;27;3411,5;3412;3403;3406,5;5771;32,1887
12;24;3413,5;3414;3410,5;3411,5;1701;38,2187
12;21;3414;3414,5;3412,5;3413,5;1023;41,0768
12;18;3414;3415,5;3413,5;3414;670;41,8025
12;15;3416;3416;3412,5;3414;1885;41,8025
12;12;3420;3421;3415,5;3416;1907;44,515
12;9;3416;3420;3416;3419,5;1324;49,7621
12;6;3416;3417;3413,5;3415,5;1316;42,5794
12;3;3416;3416,5;3411,5;3415,5;4784;42,5794
12;0;3419;3419,5;3416;3416;3914;43,2458
11;57;3425,5;3425,5;3417,5;3419;4622;47,377
11;54;3421,5;3426;3421;3425,5;3372;58,649
11;51;3422;3422,5;3419,5;3421;1047;51,1824
11;48;3418,5;3422,5;3418,5;3421,5;2310;52,154
11;45;3416,5;3419;3416;3418,5;1327;46,4951
11;42;3418;3419,5;3416;3416,5;1140;42,2681
11;39;3418;3419,5;3416,5;3418;1383;44,729
11;36;3418;3419;3416,5;3418,5;1543;45,5499
11;33;3419,5;3420,5;3414,5;3417,5;4704;43,6286
11;30;3424,5;3428,5;3417,5;3419,5;5079;46,688
