Hora,Minuto,Abertura,Máx,Mín,Fechar,WDOZ6 Curncy - Volume,RSI (14) no fechto (WDOZ6)
17,57,3398.5,3402.573,3397,3402.573,164,63.8587
17,54,3397.5,3399,3396,3398,556,49.3952
17,51,3397,3398,3396.5,3397.5,227,47.252
17,48,3396.5,3397.5,3396.5,3397,254,45.0927
17,45,3396.5,3396.5,3395.5,3396.5,288,42.9231
17,42,3396.5,3396.5,3396,3396.5,220,42.9231
17,39,3395.5,3397,3395,3396,443,40.9098
17,36,3395.5,3396,3395.5,3396,202,40.9098
17,33,3395,3396,3394.5,3395.5,191,39.0563
17,30,3396,3397,3394.5,3394.5,388,35.2865
17,27,3394.5,3396,3394.5,3396,329,38.6134
17,24,3397,3397,3393,3394.5,790,32.7234
17,21,3397,3397.5,3397,3397,137,38.4299
17,18,3396.5,3397.5,3396,3397,199,38.4299
17,15,3397,3398.5,3396,3396,472,34.4898
17,12,3396.5,3398,3396,3396.5,277,35.5459
17,9,3395.5,3398,3395.5,3396.5,796,35.5459
17,6,3397,3397,3394,3396,1348,33.798
17,3,3399,3399.5,3396.5,3397,999,35.5905
17,0,3399.5,3400,3398.5,3399.5,700,40.5875
16,57,3401.5,3402,3397.5,3399,1816,38.9968
16,54,3403,3403,3402,3402,422,45.8336
16,51,3403,3404.5,3403,3403,514,48.4635
16,48,3402.5,3404,3402,3403.5,736,49.7899
16,45,3401.5,3404,3401,3402.5,1027,47.1011
16,42,3404,3404.5,3401.5,3401.5,838,44.3331
16,39,3404.5,3404.5,3402,3404,818,50.463
16,36,3401.5,3404.5,3401.5,3404.5,1491,51.793
16,33,3401,3401.5,3398.5,3401.5,2040,43.4961
16,30,3403,3404,3401,3401,897,41.9499
16,27,3403,3404.5,3402.5,3403.5,830,48.0554
16,24,3406,3406.5,3402.5,3403,1776,46.6124
16,21,3404.5,3408,3403,3406,2757,55.1479
16,18,3404.5,3405,3403,3404,435,49.4135
16,15,3404,3405,3402.5,3404.5,868,50.9249
16,12,3403.5,3405,3402.5,3404.5,885,50.9249
16,9,3401.5,3405,3401.5,3403.5,1463,48.1922
16,6,3402,3403.5,3400.5,3401,1002,40.5007
16,3,3401.5,3402.5,3400.5,3402.5,932,44.1528
16,0,3401.5,3402.5,3400,3401.5,1238,40.851
15,57,3403.5,3404,3401.5,3401.5,913,40.851
15,54,3403.5,3404,3402,3403,1165,44.2333
15,51,3401,3403.5,3400,3403.5,1589,45.3967
15,48,3400.5,3402.5,3400,3401,1436,37.8014
15,45,3400,3401,3398.5,3400,2694,34.4128
15,42,3402,3403,3400,3400,944,34.4128
15,39,3402,3403.5,3400.5,3402,1712,37.9812
15,36,3404,3405,3401,3401.5,1807,36.4515
15,33,3405.5,3407.5,3402.5,3404,2392,41.1657
15,30,3405.5,3409,3405.5,3406,1454,45.5409
15,27,3406.5,3408,3404.5,3406,1797,45.5409
15,24,3406,3407.5,3405,3406.5,1129,46.6087
15,21,3405.5,3408,3404.5,3406,1335,45.4204
15,18,3404.5,3408.5,3404,3406,2033,45.4204
15,15,3405,3406.5,3403.5,3404.5,1671,42.086
15,12,3400.5,3405.5,3400.5,3405.5,1286,43.7402
15,9,3404,3406,3400,3400.5,2511,31.1818
15,6,3402.5,3404,3400.5,3403.5,2147,35.6105
15,3,3406.5,3407.5,3401.5,3402.5,3135,32.6497
15,0,3409,3409.5,3405.5,3406.5,2794,39.3747
14,57,3412,3412,3407.5,3409,1973,44.7206
14,54,3411.5,3413.5,3410.5,3412,895,52.6922
14,51,3412,3415,3411,3411,1676,49.9296
14,48,3411.5,3413.5,3411,3412,871,52.7922
14,45,3413,3414,3410,3411.5,1362,51.5012
14,42,3410.5,3413,3410,3412.5,1793,54.2568
14,39,3408,3411,3408,3411,2036,50.5733
14,36,3407,3408.5,3406.5,3407.5,1118,40.1273
14,33,3406.5,3408,3406,3407,765,38.4003
14,30,3407,3408.5,3406,3406.5,1047,36.705
14,27,3408.5,3410,3406,3407,1666,37.6676
14,24,3411.5,3412.5,3408,3408.5,1568,40.6364
14,21,3411,3414,3410.5,3411.5,1757,47.6041
14,18,3410,3411.5,3409.5,3411,859,46.1758
14,15,3409,3410.5,3408.5,3410.5,1171,44.778
14,12,3410.5,3411,3408,3409,2813,40.4714
14,9,3414,3414.5,3410.5,3411,2125,44.7968
14,6,3415.5,3416.5,3413.5,3414,751,52.6316
14,3,3415,3417,3413,3416,1799,59.0219
14,0,3416.5,3417,3414.5,3414.5,1291,55.2368
13,57,3416.5,3418.5,3415.5,3416.5,738,62.3693
13,54,3417,3417.5,3415.5,3416.5,1147,62.3693
13,51,3417,3419.5,3417,3417,721,64.1551
13,48,3420,3420,3417,3417.5,964,65.9073
13,45,3419,3420.5,3417.5,3419.5,1024,73.3482
13,42,3416.5,3419.5,3415.5,3419,1303,72.6309
13,39,3417,3420.5,3416.5,3417,2927,69.591
13,36,3416,3417.5,3416,3417.5,488,71.4329
13,33,3416.5,3417.5,3416,3416,807,69.159
13,30,3414,3417,3413.5,3416.5,1240,70.9059
13,27,3413.5,3415.5,3413,3414.5,993,67.8937
13,24,3414,3415.5,3411.5,3414,1300,67.103
13,21,3415,3416,3414,3414,1053,67.103
13,18,3411,3415.5,3410.5,3415,2292,70.0792
13,15,3411.5,3412.5,3409,3411.5,2442,65.0398
13,12,3410.5,3413,3410.5,3412,707,66.5261
13,9,3409,3412.5,3409,3411,934,65.0425
13,6,3410,3411,3408.5,3409.5,1068,62.7425
13,3,3410.5,3414,3409,3410,2035,64.0468
13,0,3409,3413,3408.5,3410.5,1695,65.3075
12,57,3408,3411,3407.5,3409,1725,63.2949
12,54,3407.5,3408.5,3405.5,3408.5,936,62.6237
12,51,3404,3409,3404,3407.5,1793,61.3099
12,48,3402,3406.5,3401,3404,1591,56.3198
12,45,3401.5,3404,3401,3402.5,870,53.9565
12,42,3403,3403.5,3401,3401.5,679,52.3609
12,39,3400.5,3402.5,3399.5,3402.5,1375,54.1018
12,36,3397.5,3403,3397.5,3400.5,2636,51.0812
12,33,3399.5,3399.5,3394,3398,2622,47.0354
12,30,3401.5,3402.5,3397,3399.5,2900,49.3074
12,27,3403,3404.5,3401,3401.5,1384,52.4438
12,24,3404.5,3407.5,3402.5,3403,1998,54.8748
12,21,3402,3405,3401,3404.5,746,57.3429
12,18,3403.5,3404.5,3401,3402,889,54.1515
12,15,3402,3406,3402,3403.5,1526,56.5069
12,12,3403,3405.5,3401,3402.5,1905,55.3033
12,9,3399,3404,3398.5,3403,1958,56.0231
12,6,3399.5,3400,3398,3399,1140,51.3163
12,3,3404,3404,3399,3399,2529,51.3163
12,0,3406.5,3408.5,3401.5,3403.5,2802,57.2612
11,57,3407,3410,3404,3407,5116,62.4895
11,54,3402,3407.5,3401,3407,2259,62.4895
11,51,3404,3407,3401,3402,3664,57.7361
11,48,3399,3405,3398.5,3404,3396,60.5879
11,45,3394.5,3399,3394.5,3399,1689,55.4835
11,42,3396,3398.5,3394,3394,2075,49.398
11,39,3390.5,3397,3388.5,3396,4532,52.0404
11,36,3391,3392,3389,3390,2570,43.6424
11,33,3397,3399,3388.5,3391,4016,44.8581
11,30,3403,3403.5,3396.5,3397.5,2503,53.9237
11,27,3397.5,3404.5,3397.5,3403,2955,64.1026
11,24,3397.5,3400,3396.5,3398,1431,57.2982
11,21,3395,3398.5,3395,3397,1636,55.7402
11,18,3399,3399.5,3395,3395.5,2335,53.3704
11,15,3397.5,3401.5,3397.5,3398.5,2518,59.2633
11,12,3399,3401.5,3396,3398,3738,58.5551
11,9,3399.5,3400,3396.5,3399,2309,60.5087
11,6,3395.5,3400,3395,3399.5,3919,61.4607
11,3,3391,3396.5,3390,3395.5,2776,56.3601
11,0,3392,3393.5,3389,3391.5,2240,50.2454
10,57,3391.5,3392.5,3388.5,3392,2145,51.0761
10,54,3390,3393.5,3388,3391,2098,49.5264
10,51,3392,3393,3386,3389.5,2683,47.1968
10,48,3388,3395.5,3384.5,3392,5010,50.8274
10,45,3393,3393.5,3383.5,3388,3798,44.4823
10,42,3391.5,3394,3388,3393,2826,52.3184
10,39,3388.5,3392,3386.5,3392,2770,50.7057
10,36,3386,3389.5,3384,3388.5,3040,44.618
10,33,3386,3387.5,3384,3386.5,1667,40.7344
