Hora;Minuto;Abertura;Máx;Mín;Fechar;WDOZ6 Curncy - Volume;RSI (14) no fechto (WDOZ6)
17;57;3646,5;3654,837;3643;3654,837;561;56,7138
17;54;3648,5;3654,837;3645,5;3654,837;399;56,7138
17;51;3647,5;3654,837;3647;3654,837;425;56,7138
17;48;3646,5;3654,837;3645,5;3654,837;613;56,7138
17;45;3644,5;3654,837;3643;3654,837;757;56,7138
17;42;3641,5;3654,837;3641,5;3654,837;982;56,7138
17;39;3642,5;3654,837;3641;3654,837;784;56,7138
17;36;3640;3654,837;3640;3654,837;541;56,7138
17;33;3640;3654,837;3639;3654,837;269;56,7138
17;30;3642,5;3654,837;3639,5;3654,837;645;56,7138
17;27;3640;3654,837;3640;3654,837;641;56,7138
17;24;3642;3654,837;3639;3654,837;918;56,7138
17;21;3642;3654,837;3641;3654,837;506;56,7138
17;18;3642,5;3642,5;3640,5;3642;765;32,1584
17;15;3645;3645;3641;3642,5;1745;32,832
17;12;3649;3650,5;3644,5;3645;1084;36,3691
17;9;3648;3651;3647;3649;1260;43,2996
17;6;3647,5;3648;3647;3648;328;40,6752
17;3;3647,5;3648;3646;3647,5;551;39,3724
17;0;3646;3648,5;3646;3647,5;811;39,3724
16;57;3648;3649,5;3645,5;3646;1356;35,7208
16;54;3650;3651;3647;3648;883;38,5991
16;51;3648,5;3651;3648;3650,5;853;42,5818
16;48;3652,5;3653;3647,5;3648,5;2014;37,8155
16;45;3655,5;3656;3652,5;3653;711;45,75
16;42;3655;3655,5;3653,5;3655,5;790;51,3031
16;39;3653,5;3656,5;3653;3655;1241;50,1801
16;36;3650,5;3654;3649,5;3653;1280;45,5128
16;33;3651,5;3652,5;3649;3651;1432;40,3213
16;30;3654;3654,5;3650,5;3651,5;2186;41,2333
16;27;3654;3657,5;3653,5;3654,5;928;47,1787
16;24;3656,5;3657,5;3653,5;3654;1668;45,9731
16;21;3658,5;3659,5;3655,5;3656,5;1200;51,4224
16;18;3659;3661,5;3657,5;3659;1165;57,7822
16;15;3659,5;3660,5;3659;3659;693;57,7822
16;12;3658,5;3659,5;3657,5;3659;658;57,7822
16;9;3661,5;3661,5;3658;3658,5;955;56,9292
16;6;3659;3663;3659;3661;1754;62,8225
16;3;3658;3659,5;3657,5;3659;543;59,7253
16;0;3654,5;3659,5;3654,5;3658;1403;58,1049
15;57;3654,5;3655;3653,5;3654,5;886;51,8026
15;54;3658,5;3659;3653;3655;2312;52,8574
15;51;3659,5;3660;3658;3658,5;498;60,9201
15;48;3660;3660;3657;3659;814;62,1783
15;45;3659,5;3661;3657;3660,5;1460;65,9739
15;42;3658,5;3662;3658;3660;1417;65,3186
15;39;3657,5;3659;3656,5;3658,5;858;63,3525
15;36;3660,5;3660,5;3656,5;3657,5;1517;62,0196
15;33;3660,5;3663;3659,5;3660,5;1514;69,0117
15;30;3657,5;3661;3656,5;3661;1125;70,2371
15;27;3659,5;3661,5;3657;3657;2072;65,7144
15;24;3658;3660;3655;3659,5;1823;72,0703
15;21;3659;3659;3654,5;3658,5;3937;71,0296
15;18;3663;3663,5;3658,5;3659;3741;72,2801
15;15;3662,5;3664,5;3659;3663;3900;83,1553
15;12;3664;3671,5;3661,5;3662,5;6614;82,8559
15;9;3660,5;3664,5;3658,5;3663,5;5695;85,6843
15;6;3654,5;3661,5;3652;3660,5;4645;84,1799
15;3;3648,5;3656;3648,5;3654,5;5683;80,3437
15;0;3644,5;3649;3644;3648,5;2876;74,6315
14;57;3641,5;3644,5;3641;3644,5;1391;69,0667
14;54;3641,5;3642,5;3640;3641,5;792;63,4891
14;51;3642,5;3643,5;3641;3642;900;65,3116
14;48;3639,5;3642,5;3639;3642,5;816;67,1003
14;45;3639,5;3641,5;3639,5;3640;546;62,3076
14;42;3641,5;3643;3639,5;3640;1215;62,3076
14;39;3638;3642;3637,5;3641;2038;65,6037
14;36;3637,5;3638,5;3636,5;3638;588;59,6589
14;33;3635;3637,5;3634;3637,5;814;58,5501
14;30;3635,5;3637,5;3635;3635;579;52,4875
14;27;3634,5;3636;3634;3635;879;52,4875
14;24;3633;3635;3631;3634,5;935;51,258
14;21;3635;3635,5;3631;3633;2108;47,4716
14;18;3634,5;3635;3633;3635;1012;52,5232
14;15;3636;3637;3633,5;3634,5;1196;51,3207
14;12;3638;3638;3635,5;3636;980;55,2167
14;9;3637,5;3639;3637;3638;1277;60,945
14;6;3635,5;3637,5;3634,5;3637,5;1551;59,9812
14;3;3632;3636,5;3631,5;3635,5;2072;55,9431
14;0;3630;3632;3629,5;3631,5;639;45,7829
13;57;3628,5;3631;3628;3630;1228;41,049
13;54;3627,5;3629;3626,5;3629;1034;37,6805
13;51;3629;3629;3626,5;3627,5;1563;32,2917
13;48;3631;3631,5;3628,5;3628,5;1128;34,118
13;45;3632;3633;3629,5;3631,5;1020;40,4986
13;42;3632;3633;3631,5;3632;206;41,7057
13;39;3633,5;3634,5;3631;3631,5;997;40,0464
13;36;3632;3635;3632;3633,5;559;44,7808
13;33;3635;3635;3631,5;3632,5;1016;41,5738
13;30;3634,5;3635,5;3634;3634,5;778;46,6001
13;27;3632,5;3635;3631,5;3634,5;1013;46,6
13;24;3632;3633;3631;3632,5;553;40,3856
13;21;3632,5;3633,5;3632;3632;491;38,7303
13;18;3632;3632,5;3630,5;3632;1199;38,7303
13;15;3635;3635;3631;3632;1622;38,7303
13;12;3635;3635,5;3632,5;3634,5;1196;43,5738
13;9;3638;3638;3634;3635;1777;44,6098
13;6;3638,5;3640;3638;3638,5;901;52,7645
13;3;3639,5;3639,5;3636,5;3638,5;2788;52,7645
13;0;3641;3643,5;3639,5;3639,5;1670;55,2528
12;57;3644;3644;3640;3640,5;1117;57,783
12;54;3641;3644;3641;3643,5;746;66,2323
12;51;3643;3643,5;3640,5;3641;1267;61,924
12;48;3643,5;3644,5;3642,5;3643,5;676;70,2463
12;45;3642,5;3646,5;3642;3643,5;1475;70,2463
12;42;3643;3643,5;3642;3642;546;68,023
12;39;3642,5;3643,5;3641;3642,5;637;69,6336
12;36;3643,5;3643,5;3641,5;3642,5;934;69,6336
12;33;3642;3644,5;3640,5;3643,5;3497;72,5977
12;30;3638,5;3643;3636,5;3641,5;2418;70,2455
12;27;3635;3639;3634,5;3638,5;986;66,2048
12;24;3634,5;3635,5;3634;3634,5;454;59,3741
12;21;3635,5;3636,5;3634,5;3635;568;60,8005
12;18;3635,5;3636,5;3633,5;3636;1383;63,6399
12;15;3637,5;3637,5;3634,5;3635;1132;61,9917
12;12;3638,5;3639;3636;3637,5;908;69,2821
12;9;3637,5;3639,5;3636,5;3638,5;1764;72,4467
12;6;3637,5;3638;3635,5;3637,5;1007;71,2263
12;3;3637,5;3639;3635,5;3637,5;2561;71,2263
12;0;3634;3637,5;3633;3637,5;2197;71,2263
11;57;3633,5;3636,5;3633,5;3635;2676;68,4271
11;54;3635,5;3636,5;3633,5;3633,5;2726;66,6178
11;51;3631;3636;3630,5;3635,5;3831;71,7053
11;48;3630,5;3632;3629;3630,5;1545;65,6082
11;45;3630,5;3632,5;3629,5;3630;2463;64,9059
11;42;3626,5;3634;3625;3631;8554;67,4641
11;39;3624,5;3629;3624;3626,5;3767;61,0491
11;36;3622;3626;3621,5;3625;2860;58,5175
11;33;3619,5;3622;3618,5;3622;1273;52,8231
11;30;3619,5;3621;3618,5;3619,5;1567;47,2162
11;27;3622;3622,5;3619;3619;948;46,0249
11;24;3622,5;3623,5;3621;3622;1020;52,6448
11;21;3621,5;3623,5;3621;3622,5;1236;53,8434
11;18;3620,5;3622,5;3620;3621,5;2215;51,8057
11;15;3621;3621,5;3616,5;3620,5;1874;49,7455
11;12;3617;3621,5;3616,5;3621;2086;50,7528
11;9;3618,5;3619,5;3615,5;3617;1765;42,0336
11;6;3618;3619,5;3616,5;3619;1578;45,7983
11;3;3616;3618,5;3616;3618;1788;43,4467
11;0;3618,5;3619;3616;3616;2132;38,4905
10;57;3622,5;3622,5;3617;3618;2489;41,9002
10;54;3621;3623;3620,5;3622;1611;50,1509
10;51;3622;3622,5;3619;3621;3176;47,7631
10;48;3625;3626,5;3622;3622,5;2610;51,1777
10;45;3628;3628,5;3624;3625;2213;57,5444
10;42;3628;3629;3626,5;3628;840;66,805
10;39;3627,5;3629,5;3626,5;3628;1369;66,805
10;36;3624,5;3628,5;3624;3627,5;3231;66,0191
10;33;3623,5;3625,5;3622,5;3624,5;1012;60,856
10;30;3624;3625;3622,5;3623,5;1036;58,9243
10;27;3622,5;3624,5;3621,5;3624;1213;60,306
10;24;3624;3624;3621;3623;1675;58,4987
10;21;3625;3625;3623;3624;1067;61,0812
10;18;3625,5;3626;3624;3625;661;63,6922
10;15;3624;3627,5;3623,5;3625,5;1659;64,9818
10;12;3625;3625,5;3623;3623,5;1139;62,134
10;9;3624,5;3628,5;3623,5;3625;3198;65,8643
10;6;3622;3624,5;3620,5;3624;1454;64,5467
10;3;3621;3622,5;3620;3622;2651;61,8089
10;0;3621;3626,5;3620,5;3621;3778;60,3888
9;57;3621;3622,5;3618,5;3621;2049;60,3888
9;54;3623,5;3624,5;3620,5;3621;1298;60,3888
9;51;3622,5;3624,5;3621,5;3623,5;1892;65,2451
9;48;3623;3626,5;3622;3622,5;2840;64,1751
9;45;3621,5;3623,5;3619,5;3622,5;1882;64,1751
9;42;3616;3623;3616;3621,5;3172;63,198
9;39;3618;3620;3615,5;3616;1677;57,2427
9;36;3618;3619;3614,5;3617,5;2666;59,6888
9;33;3619;3622;3617;3618;2254;60,4888
9;30;3615;3621;3614,5;3619;5010;62,033
9;27;3613;3616;3612,5;3614,5;2315;57,4994
9;24;3609,5;3613,5;3608;3613,5;2225;56,4257
9;21;3609,5;3613;3609;3609,5;1644;51,9137
9;18;3610;3613;3609;3609;2783;51,3287
9;15;3606;3610,5;3605,5;3610;3156;52,5152
9;12;3601,5;3607;3600,5;3606;3316;48,0555
9;9;3598,5;3603;3598,5;3602;2737;43,0926
9;6;3593;3601;3591,5;3598,5;3986;38,3032
9;3;3592,5;3594;3588;3592,5;2366;28,759
9;0;3598;3600;3589,5;3592;2239;27,8958
