Hora,Minuto,Abertura,Máx,Mín,Fechar,WDOZ6 Curncy - Volume,RSI (14) no fechto (WDOZ6)
17,57,3316,3317,3315.5,3316.5,189,58.1366
17,54,3315.5,3317,3315,3316.5,1063,58.1366
17,51,3316,3316.5,3315.5,3316,272,56.3892
17,48,3317,3319.5,3315.5,3316,1332,56.3892
17,45,3317.5,3318,3317,3317,213,60.763
17,42,3317.5,3318,3317,3317.5,262,63.033
17,39,3317.5,3318.5,3317.5,3317.5,220,63.033
17,36,3318.5,3319.5,3317.5,3317.5,630,63.033
17,33,3316.5,3319.5,3316,3319,956,69.2466
17,30,3315.5,3316.5,3314.5,3316.5,440,63.7102
17,27,3316,3317,3314.5,3315,705,59.6646
17,24,3315,3317.5,3315,3316.5,1048,66.5542
17,21,3314.5,3315,3314,3315,288,62.5373
17,18,3315,3315,3314,3314.5,366,61.0909
17,15,3314,3315,3313.5,3315,581,63.3625
17,12,3313.5,3314.5,3313,3314,373,60.6448
17,9,3315,3315,3312.5,3313.5,1523,59.241
17,6,3315.5,3316,3314.5,3315,966,65.7769
17,3,3317,3317.5,3315,3315.5,1294,68.1025
17,0,3317,3317.5,3316,3317,1539,75.5428
16,57,3314,3317,3314,3317,2550,75.5428
16,54,3313.5,3315,3313.5,3314,756,69.8653
16,51,3313,3314,3313,3313.5,569,68.7423
16,48,3312.5,3314.5,3312.5,3313.5,1018,68.7423
16,45,3314.5,3314.5,3312.5,3312.5,1396,66.5956
16,42,3313.5,3314.5,3313,3314.5,1348,76.3312
16,39,3311.5,3313.5,3311.5,3313.5,2240,74.6077
16,36,3309.5,3312.5,3309.5,3312,2271,71.7417
16,33,3308,3310,3308,3309.5,734,65.7609
16,30,3308.5,3309,3308,3308,570,61.1837
16,27,3308.5,3309.5,3308,3308.5,474,63.8246
16,24,3308.5,3309,3308,3308.5,494,63.8246
16,21,3310,3310,3308.5,3308.5,791,63.8246
16,18,3309,3310,3309,3309.5,485,68.5637
16,15,3309.5,3309.5,3308,3309,1078,67.4413
16,12,3308.5,3311.5,3308.5,3309,2866,67.4413
16,9,3308,3308.5,3307,3308.5,453,66.4071
16,6,3307.5,3308.5,3307,3307.5,464,64.3012
16,3,3307.5,3308,3306,3307,1075,63.231
16,0,3308.5,3308.5,3307,3308,1029,66.9588
15,57,3306.5,3309.5,3306,3308,3812,66.9588
15,54,3305,3307,3304.5,3306.5,1418,64.2314
15,51,3303,3305.5,3302.5,3304.5,1077,60.1599
15,48,3303,3303,3302.5,3302.5,416,55.451
15,45,3304.5,3305,3302.5,3303,1476,57.0154
15,42,3305,3305.5,3304,3304.5,1119,61.8784
15,39,3303,3305,3302.5,3305,1689,63.5564
15,36,3302.5,3303.5,3302.5,3303,731,59.4748
15,33,3301,3303,3300.5,3302.5,518,58.393
15,30,3303.5,3303.5,3300,3300.5,1750,53.8138
15,27,3302,3304,3302,3303.5,1516,63.5568
15,24,3302,3303,3301,3302.5,1773,61.3933
15,21,3299,3302,3298.5,3301.5,1328,59.1409
15,18,3299.5,3300.5,3299,3299,1145,52.7402
15,15,3297.5,3301.5,3297,3299.5,1975,54.3205
15,12,3298.5,3299.5,3296.5,3297.5,1970,48.5999
15,9,3297.5,3298.5,3296,3298.5,1593,51.6002
15,6,3298.5,3299,3296,3297,2895,47.0469
15,3,3300.5,3300.5,3297.5,3298.5,3005,51.5501
15,0,3302,3302.5,3300,3300,2092,56.5789
14,57,3302,3304,3301.5,3302.5,2529,66.6398
14,54,3299,3302.5,3299,3301.5,1826,64.2806
14,51,3300,3300,3298.5,3299.5,857,58.8802
14,48,3300.5,3301.5,3299.5,3300,1244,61.0219
14,45,3299.5,3302,3299,3301,2458,65.4427
14,42,3299,3299.5,3297.5,3299.5,1216,61.5643
14,39,3298.5,3299.5,3298,3299,751,60.181
14,36,3297.5,3299,3297,3298.5,782,58.8044
14,33,3298,3298.5,3297,3298,534,57.438
14,30,3298,3299,3297.5,3298,700,57.438
14,27,3299,3300,3297.5,3298,1288,57.438
14,24,3297.5,3300.5,3297.5,3299,1839,60.6598
14,21,3299,3299,3297,3297.5,961,57.3257
14,18,3298,3299.5,3298,3298.5,1965,60.4998
14,15,3297.5,3298,3296,3298,1173,59.4576
14,12,3298,3298.5,3296.5,3297.5,2154,58.4393
14,9,3296,3299,3296,3298.5,3187,61.2985
14,6,3292,3297.5,3291.5,3296.5,2572,57.4305
14,3,3293,3293.5,3291.5,3291.5,633,44.5699
14,0,3294,3294.5,3293,3293,294,48.6655
13,57,3292,3294,3292,3294,362,51.6009
13,54,3293.5,3294,3292,3292.5,533,47.1618
13,51,3293,3293.5,3292,3293.5,236,50.0007
13,48,3294,3295.5,3292,3293,1012,48.5631
13,45,3292,3295,3292,3294,884,51.3025
13,42,3292,3292.5,3291.5,3292.5,788,47.1502
13,39,3292.5,3293,3291.5,3292,1227,45.7175
13,36,3296,3296,3291.5,3292.5,1430,46.898
13,33,3293.5,3296,3292,3296,1894,56.357
13,30,3295.5,3297,3292.5,3293,1800,48.0112
13,27,3293,3298,3293,3295,3689,54.4579
13,24,3291.5,3294,3289.5,3293,2467,47.9707
13,21,3291,3291.5,3290,3291,579,40.0397
13,18,3290.5,3292,3290,3291.5,1130,41.5086
13,15,3292,3292.5,3290,3290.5,1637,37.2323
13,12,3292.5,3292.5,3291,3292,1179,41.4535
13,9,3294,3296,3291.5,3292,2251,41.4535
