Hora;Minuto;Abertura;Máx;Mín;Fechar;WDOZ6 Curncy - Volume;RSI (14) no fechto (WDOZ6)
17;57;3265,5;3274,213;3261,5;3274,213;508;53,2782
17;54;3265,5;3274,213;3265;3274,213;576;53,2782
17;51;3265,5;3274,213;3264,5;3274,213;261;53,2782
17;48;3266;3274,213;3265;3274,213;354;53,2782
17;45;3267,5;3274,213;3266;3274,213;608;53,2782
17;42;3266;3274,213;3266;3274,213;561;53,2782
17;39;3265,5;3274,213;3265;3274,213;297;53,2782
17;36;3266;3274,213;3265;3274,213;524;53,2782
17;33;3266;3274,213;3264,5;3274,213;726;53,2782
17;30;3269;3274,213;3265,5;3274,213;735;53,2782
17;27;3266,5;3274,213;3266;3274,213;1125;53,2782
17;24;3267;3274,213;3265,5;3274,213;489;53,2782
17;21;3269;3274,213;3267;3274,213;804;53,2782
17;18;3269;3269;3267,5;3268,5;917;40,4618
17;15;3269,5;3269,5;3268;3268,5;978;40,4618
17;12;3271,5;3272;3269;3269,5;2060;42,2094
17;9;3273,5;3275;3270,5;3271;1927;44,9111
17;6;3277,5;3277,5;3273,5;3274;1719;50,97
17;3;3275;3279;3275;3278;3106;61,1907
17;0;3274;3276;3274;3275;553;54,8912
16;57;3275,5;3276,5;3273;3274;1718;52,505
16;54;3275,5;3276;3273,5;3275,5;1741;56,6814
16;51;3274;3276;3271,5;3276;3255;58,1121
16;48;3271;3275;3270,5;3273,5;3660;52,5515
16;45;3270,5;3271,5;3268;3271,5;2140;47,3605
16;42;3268;3270,5;3265,5;3270;2561;43,0191
16;39;3266;3268;3265,5;3268;1002;36,5391
16;36;3267;3268;3265,5;3266,5;1080;31,0806
16;33;3267;3267;3265;3266,5;1473;31,0806
16;30;3267,5;3269;3266,5;3267;1403;31,8684
16;27;3268;3270;3267,5;3267,5;1842;32,6366
16;24;3267,5;3269;3266,5;3268,5;1292;34,1661
16;21;3266;3268,5;3266;3267;2301;29,5687
16;18;3265,5;3266,5;3263,5;3266;3395;26,3864
16;15;3266;3266,5;3264,5;3265,5;1702;24,809
16;12;3267;3268,5;3265,5;3266,5;2118;25,8372
16;9;3268,5;3270;3266;3267;4013;26,3441
16;6;3269;3272;3268,5;3268,5;2653;27,8671
16;3;3271,5;3272,5;3268;3269;4715;28,3749
16;0;3271,5;3271,5;3268,5;3271,5;4879;30,997
15;57;3272;3273,5;3271;3271,5;3719;30,997
15;54;3276;3276,5;3271,5;3271,5;4338;30,997
15;51;3278;3278,5;3275,5;3276;2038;35,7596
15;48;3277;3279;3276,5;3278;1020;38,1806
15;45;3280;3280;3276,5;3276,5;3905;35,1216
15;42;3280;3282;3279,5;3280,5;3062;40,0259
15;39;3279;3280,5;3278,5;3280;3306;39,0378
15;36;3278,5;3279,5;3275,5;3279;7065;37,1137
15;33;3284,5;3285;3278;3278,5;5916;36,1785
15;30;3286,5;3286,5;3282;3284,5;2998;43,3646
15;27;3281,5;3286,5;3281;3286;4630;45,4608
15;24;3281;3283,5;3280,5;3281,5;4378;36,9737
15;21;3284,5;3286;3279,5;3280,5;8132;34,8827
15;18;3284,5;3286,5;3283;3284,5;7496;39,7853
15;15;3293,5;3293,5;3283,5;3284,5;8580;39,7853
15;12;3291;3295;3290;3293,5;4916;54,7001
15;9;3288,5;3291;3288;3290,5;2767;48,7538
15;6;3295,5;3295,5;3287,5;3288,5;8876;44,2212
15;3;3293;3298;3291;3295,5;5345;62,0608
15;0;3289;3299;3287,5;3293;11027;56,2011
14;57;3287;3290;3286;3289;2381;43,1575
14;54;3288,5;3289;3287;3287,5;1370;36,581
14;51;3289,5;3290,5;3288;3288,5;1458;39,4031
14;48;3288,5;3289,5;3287,5;3289,5;1793;42,4437
