Hora,Minuto,Abertura,Máx,Mín,Fechar,WDOZ6 Curncy - Volume,RSI (14) no fechto (WDOZ6)
17,57,3241.5,3242.5,3237,3239.813,364,53.9617
17,54,3244,3244,3239.813,3239.813,525,53.9617
17,51,3242.5,3244,3239.813,3239.813,189,53.9617
17,48,3242.5,3243.5,3239.813,3239.813,179,53.9617
17,45,3241,3244,3241,3242,596,60.3254
17,42,3239.5,3242,3239,3241,439,58.2341
17,39,3239.5,3241,3238,3239,673,53.702
17,36,3238.5,3239,3237,3239,298,53.702
17,33,3237.5,3239,3236.5,3239,300,53.702
17,30,3236.5,3239,3236,3237.5,727,50.4749
17,27,3236.5,3236.5,3235,3236.5,146,48.2415
17,24,3236.5,3239,3235,3236,724,47.1347
17,21,3233,3237.5,3233,3236.5,837,48.0896
17,18,3234,3234,3232,3233.5,685,41.4847
17,15,3237.5,3238,3233,3234,749,42.318
17,12,3236.5,3237.5,3234,3237.5,1206,48.673
17,9,3238.5,3238.5,3236.5,3236.5,345,46.5432
17,6,3237.5,3238.5,3237.5,3238.5,189,50.4294
17,3,3237,3239,3235.5,3238.5,421,50.4294
17,0,3239,3239.5,3236.5,3237.5,509,48.5784
16,57,3237.5,3240,3237,3239,740,51.2436
16,54,3238.5,3238.5,3233,3237.5,1573,48.6263
16,51,3238,3240,3238,3238.5,622,50.2978
16,48,3242,3242,3237.5,3238.5,835,50.2978
16,45,3239,3243,3239,3242,2246,56.1192
16,42,3236,3240,3236,3239,932,51.6668
16,39,3238.5,3240.5,3236,3236,1619,46.6392
16,36,3238,3238.5,3236,3238,756,49.8491
16,33,3239,3240,3232,3237.5,3430,49.0348
16,30,3241,3243,3239,3239,1329,51.3578
16,27,3242.5,3243.5,3240,3240.5,991,53.7209
16,24,3245.5,3246,3241.5,3242.5,1827,56.9662
16,21,3246.5,3247.5,3244,3245.5,800,62.1998
16,18,3247,3248,3245,3246,961,63.097
16,15,3247,3249,3244,3246.5,2801,63.9535
16,12,3247,3248,3246,3247,758,64.77
16,9,3240.5,3249,3240.5,3247.5,3435,65.547
16,6,3236,3243,3235.5,3240.5,2208,59.181
16,3,3239.5,3240,3233.5,3236,2105,54.1205
16,0,3236.5,3240,3236,3239.5,1743,59.4428
15,57,3241,3244,3236.5,3237,3180,56.6128
15,54,3240,3242,3235.5,3241,2211,63.1607
15,51,3237,3241,3236.5,3239.5,1692,61.6147
15,48,3235,3240,3235,3237,3325,58.9487
15,45,3229.5,3236,3229,3235,2496,56.7153
15,42,3227.5,3232.5,3227,3229.5,2568,49.732
15,39,3225.5,3227.5,3225,3227.5,986,46.8358
15,36,3228,3228,3224.5,3225.5,2380,43.8308
15,33,3232.5,3235,3228.5,3228.5,2614,47.5765
15,30,3230,3234.5,3229.5,3233,1887,54.0047
15,27,3231,3231,3228,3230.5,1828,50.5585
15,24,3225.5,3231,3224,3231,2688,51.2719
15,21,3222.5,3226,3221.5,3226,2656,43.9245
15,18,3224,3224.5,3216.5,3222.5,3570,37.8313
15,15,3225,3226,3221.5,3224,2433,39.5412
15,12,3226,3228,3223.5,3225,1467,40.6793
15,9,3226.5,3228,3220,3226.5,4870,42.3784
15,6,3232,3232,3224,3226.5,5523,42.3784
15,3,3233.5,3234.5,3230.5,3232,2935,48.8258
15,0,3239,3240,3230.5,3233.5,8032,50.7823
14,57,3245,3246,3238,3239,2194,58.8056
14,54,3243,3246,3243,3245,2511,70.0104
14,51,3240,3243.5,3239.5,3243,1325,68.1309
14,48,3238.5,3241,3237.5,3240,1246,65.0828
14,45,3239,3239.5,3236,3238.5,2636,63.4602
14,42,3241,3242.5,3238.5,3238.5,1685,63.4602
14,39,3239.5,3243.5,3239,3241,1988,68.0013
14,36,3243,3244.5,3239.5,3240,3355,67.1276
14,33,3240.5,3247.5,3239,3242.5,5275,71.6705
14,30,3235,3241.5,3234.5,3240.5,4132,70.1709
14,27,3230.5,3236.5,3230.5,3235.5,3667,65.9919
14,24,3228.5,3232,3227,3231,1861,61.4821
14,21,3225.5,3229.5,3224.5,3228.5,1825,58.6536
14,18,3227,3229,3225,3225.5,1591,54.9689
14,15,3225.5,3228,3225,3227,2551,57.3414
14,12,3222,3226,3220.5,3225.5,2707,55.5603
14,9,3221.5,3223.5,3220,3223,1672,52.4904
14,6,3217,3222,3216.5,3221,3168,49.9205
14,3,3213,3218.5,3212,3217,2621,44.3277
14,0,3209.5,3213.5,3209,3213,1641,37.8866
