Hora;Minuto;Abertura;Máx;Mín;Fechar;WDOZ6 Curncy - Volume;RSI (14) no fechto (WDOZ6)
17;57;3299,5;3301,696;3297;3301,696;394;46,7936
17;54;3299,5;3300;3297;3298,5;918;32,5317
17;51;3299,5;3300;3296,5;3300;1213;36,8346
17;48;3302;3302,5;3299;3299,5;881;34,1382
17;45;3302;3303,5;3301,5;3302,5;547;44,791
17;42;3302;3302,5;3302;3302;127;41,9895
17;39;3301;3303,5;3300,5;3302;478;41,9895
17;36;3301,5;3302;3300;3301;972;36,4263
17;33;3303,5;3303,5;3301,5;3301,5;620;38,1238
17;30;3303,5;3304;3302,5;3303;353;43,811
17;27;3303,5;3304,5;3303;3303,5;369;45,9319
17;24;3303,5;3304;3303,5;3303,5;147;45,9319
17;21;3304,5;3304,5;3303;3304;391;47,9327
17;18;3303,5;3305,5;3303;3304,5;487;49,9532
17;15;3303,5;3303,5;3303;3303,5;134;45,7026
17;12;3304,5;3304,5;3302;3303,5;1130;45,7025
17;9;3305,5;3306;3304,5;3304,5;481;49,314
17;6;3305;3306;3304,5;3305,5;270;53,2189
17;3;3306;3306;3304,5;3305;152;51,4334
17;0;3305;3305,5;3303,5;3305,5;636;53,3232
16;57;3306,5;3307;3305;3305;1138;51,6744
16;54;3305;3306,5;3304;3306,5;861;57,3144
16;51;3303;3305,5;3303;3305,5;617;54,2213
16;48;3305,5;3306;3302;3303;1182;44,9633
16;45;3304;3305,5;3303,5;3305,5;726;55,3591
16;42;3304,5;3304,5;3303,5;3304,5;407;51,1654
16;39;3304;3304,5;3303;3304,5;1341;51,1654
16;36;3307,5;3308;3304;3304,5;1908;51,1654
16;33;3306,5;3309;3306,5;3307,5;2078;66,0754
16;30;3306,5;3306,5;3305;3306,5;593;62,7121
16;27;3306,5;3307;3305;3306,5;1060;62,7121
16;24;3307;3307,5;3304,5;3306,5;1668;62,7121
16;21;3306,5;3307,5;3306;3306,5;905;62,7121
16;18;3306;3307,5;3305,5;3307;1458;65,1117
16;15;3305,5;3306;3305;3306;1096;62,4428
16;12;3303,5;3305,5;3302;3305;1233;59,571
16;9;3303,5;3304;3303;3304;775;56,4811
16;6;3305;3305,5;3303,5;3304;1105;56,4811
16;3;3303;3306,5;3302,5;3305;2749;60,4658
16;0;3302;3303;3300;3303;1824;54,505
15;57;3302,5;3303,5;3301,5;3301,5;1154;49,1673
15;54;3302;3303;3301,5;3302;1042;51,0201
15;51;3300;3303;3300;3302;2707;51,0201
15;48;3298,5;3300;3297,5;3300;1010;43,7032
15;45;3298;3299;3297,5;3298;697;34,6363
15;42;3298;3299;3297,5;3298;1654;34,6363
15;39;3300,5;3300,5;3298;3298;1339;34,6363
15;36;3301;3301,5;3299,5;3300;614;39,7638
15;33;3301;3301,5;3300,5;3300,5;583;41,179
15;30;3300,5;3301;3299;3301;804;42,5864
15;27;3302;3302;3299;3300,5;1675;40,7046
15;24;3303;3303;3299;3301,5;3298;43,3428
15;21;3305;3305,5;3302,5;3302,5;696;46,1185
15;18;3304;3306;3303,5;3305;1419;54,1717
15;15;3303,5;3304,5;3303;3304;762;50,9932
15;12;3303,5;3304,5;3303;3303;1182;47,6197
15;9;3302;3303,5;3301,5;3303,5;1920;49,1919
15;6;3302;3302,5;3301,5;3301,5;653;42,0905
15;3;3300;3302,5;3299,5;3302;2516;43,502
15;0;3300,5;3301;3296;3300,5;7602;37,6803
14;57;3305,5;3305,5;3300,5;3300,5;5096;37,6803
14;54;3306,5;3307;3305;3305;737;51,3736
14;51;3307,5;3308;3306;3306,5;927;57,8847
14;48;3307;3307,5;3306,5;3307;437;60,2481
14;45;3306,5;3307,5;3306,5;3307;581;60,2481
14;42;3307,5;3308;3306,5;3306,5;621;58,7976
14;39;3308;3308,5;3307;3308;964;65,4508
14;36;3307;3308,5;3307;3307,5;822;64,1968
14;33;3307,5;3308,5;3307;3307;1832;62,9481
14;30;3305;3307,5;3304;3307;1990;62,9481
14;27;3306;3306;3304;3305;1672;57,8814
14;24;3305,5;3306,5;3305;3306;560;61,8054
14;21;3306;3306,5;3305,5;3305,5;1173;60,5641
14;18;3306,5;3307;3305,5;3306;949;62,4486
14;15;3307;3308;3306,5;3306,5;822;64,3066
14;12;3306,5;3308;3306;3307,5;1976;68,0677
14;9;3302,5;3307,5;3302,5;3307;4539;67,1764
14;6;3302,5;3303;3301,5;3302,5;404;57,1902
14;3;3300,5;3303;3300,5;3303;974;59,0435
14;0;3299,5;3301;3299;3300,5;981;51,7898
13;57;3303;3303;3299,5;3299,5;1584;48,395
13;54;3300,5;3303;3300;3302,5;1038;60,2046
13;51;3300,5;3300,5;3299,5;3300,5;773;53,1233
13;48;3300,5;3301;3299,5;3300,5;325;53,1233
13;45;3299,5;3301;3299,5;3300,5;635;53,1233
13;42;3299;3300;3299;3299;555;47,5151
13;39;3299,5;3300;3298,5;3299,5;872;49,3422
13;36;3303;3303;3299;3299,5;1702;49,3422
13;33;3302,5;3303;3302;3302,5;520;61,5965
13;30;3301;3303,5;3301;3302,5;1243;61,5965
13;27;3301;3301,5;3300,5;3301;154;56,9916
13;24;3301;3302;3301;3301,5;263;59,1883
13;21;3300,5;3301,5;3300,5;3301;643;57,6734
13;18;3302;3302;3300,5;3300,5;591;56,1623
13;15;3300,5;3302,5;3300,5;3301,5;879;60,1503
13;12;3301,5;3302;3300,5;3300,5;968;57,3373
13;9;3301,5;3302,5;3301;3301,5;1045;61,3592
13;6;3299;3303;3299;3301,5;2906;61,3592
13;3;3298,5;3299;3298;3298,5;430;52,7938
13;0;3299;3299,5;3298;3298,5;688;52,7938
12;57;3299;3299,5;3298;3299;561;54,5309
12;54;3297;3299,5;3297;3298,5;1495;53,0979
12;51;3298;3298,5;3297;3297;904;48,5837
12;48;3294,5;3298;3294;3297,5;1327;50,0755
12;45;3296,5;3297;3294,5;3295;885;41,775
12;42;3298;3298;3296;3296;536;44,5246
12;39;3298;3298,5;3297,5;3298,5;518;52,5546
12;36;3298,5;3299;3296;3298;1550;50,9104
12;33;3298;3299,5;3297;3299;1130;54,4122
12;30;3298,5;3299;3297,5;3298;1965;51,3018
12;27;3295;3299;3295;3298,5;2839;52,9801
12;24;3294,5;3295;3294;3294,5;850;37,885
12;21;3295;3295,5;3294;3294,5;1095;37,885
12;18;3295,5;3296,5;3295;3295,5;1552;40,7016
12;15;3294,5;3296;3294,5;3296;1387;42,1568
12;12;3295;3295,5;3294;3295;1548;38,043
12;9;3294;3295;3293;3294,5;2412;35,9273
12;6;3295;3296,5;3294;3294;1949;33,8291
12;3;3295,5;3297;3295;3295;2265;36,0197
12;0;3296,5;3297,5;3295;3296;2540;38,3241
11;57;3299,5;3299,5;3296;3296,5;3326;39,4973
11;54;3300,5;3301;3299,5;3299,5;963;47,6189
11;51;3301,5;3303;3300;3300,5;1328;50,8556
11;48;3300,5;3302;3300;3301,5;1097;54,2817
11;45;3301,5;3302,5;3300;3300,5;773;51,2308
11;42;3301;3302;3300;3301,5;960;54,615
11;39;3300,5;3301,5;3299,5;3300,5;1159;51,6492
11;36;3302;3302;3300,5;3301;667;53,2653
11;33;3301;3302,5;3299,5;3301,5;840;54,8592
11;30;3302;3302,5;3300;3300,5;1012;52,203
11;27;3299,5;3302;3299;3301,5;1083;55,2202
11;24;3302;3303;3298;3299,5;3094;49,8356
11;21;3301;3302;3301;3302;840;57,9195
11;18;3300;3302;3299,5;3301;1144;55,2216
11;15;3302,5;3302,5;3299,5;3300;1869;52,387
11;12;3302;3303,5;3302;3303;540;63,6028
11;9;3302,5;3303,5;3301,5;3302;1335;61,0197
11;6;3303;3304;3302,5;3303;1579;65,3247
11;3;3304;3304;3301,5;3303;2293;65,3247
11;0;3301;3304;3299;3304;3596;69,5559
10;57;3300,5;3302,5;3300;3300,5;3302;61,4383
10;54;3299;3301;3298,5;3300;1279;60,0243
10;51;3300,5;3300,5;3298,5;3299,5;674;58,6153
10;48;3299;3301;3299;3300,5;1309;62,7211
10;45;3300,5;3300,5;3298,5;3299;620;58,6907
10;42;3299,5;3300,5;3298,5;3300,5;891;65,2402
10;39;3300;3301;3298,5;3299,5;2049;62,6608
10;36;3300,5;3301;3299,5;3299,5;770;62,6608
10;33;3300;3301;3299;3300,5;1651;66,9442
10;30;3300,5;3301;3298,5;3299,5;1151;64,7037
10;27;3298,5;3301;3298;3300,5;1582;69,0496
10;24;3297,5;3301;3297;3298;2444;63,3324
10;21;3298;3299;3297;3297,5;628;62,0298
10;18;3297,5;3298,5;3295,5;3298;1838;64,1458
10;15;3298,5;3298,5;3297,5;3297,5;620;62,9729
10;12;3299,5;3299,5;3297,5;3298;893;64,9456
10;9;3299,5;3300;3297,5;3300;1183;73,4974
10;6;3298;3301;3298;3299;2567;71,7716
10;3;3297;3299,5;3297;3298,5;2068;70,8916
10;0;3297,5;3297,5;3294,5;3297;1340;68,1233
9;57;3296;3297,5;3294,5;3297,5;1488;70,1894
9;54;3294,5;3296;3292;3295,5;1990;66,4049
9;51;3295;3295,5;3294;3294,5;1590;64,3006
9;48;3296;3297,5;3295;3295,5;1420;68,2714
9;45;3297;3297,5;3295,5;3296;996;70,2865
9;42;3297,5;3298,5;3296,5;3297;547;74,3629
9;39;3297;3298;3296,5;3297,5;1165;76,4207
9;36;3297;3298,5;3297;3297,5;1169;76,4207
9;33;3295,5;3298;3294,5;3297,5;1710;76,4207
9;30;3296;3297;3295,5;3295,5;1076;74,1278
9;27;3295;3296,5;3294;3296;1709;75,8398
9;24;3293,5;3296;3292,5;3295;2784;74,7571
9;21;3289,5;3294,5;3289;3293;2067;72,4656
9;18;3291;3292,5;3289;3289;974;66,8822
9;15;3290,5;3291,5;3289;3291;1565;73,8334
9;12;3287,5;3293,5;3287,5;3290,5;3165;73,1865
9;9;3290;3290,5;3287,5;3287,5;3026;68,903
9;6;3284;3291;3282,5;3290;3002;78,622
9;3;3281,5;3287;3281,5;3284,5;2714;69,9683
9;0;3280;3282,5;3278,5;3282;2153;63,78
