Hora,Minuto,Abertura,Máx,Mín,Fechar,WDOZ6 Curncy - Volume,RSI (14) no fechto (WDOZ6)
17,57,3192,3196.883,3190,3196.883,397,57.958
17,54,3191.5,3196.883,3191,3196.883,1023,57.958
17,51,3192.5,3196.883,3190.5,3196.883,1089,57.958
17,48,3192.5,3196.883,3191,3196.883,600,57.958
17,45,3194,3196.883,3192,3196.883,511,57.958
17,42,3194.5,3196.883,3193,3196.883,479,57.958
17,39,3194.5,3196.883,3194,3196.883,433,57.958
17,36,3193.5,3196.883,3193,3196.883,338,57.958
17,33,3192.5,3193.5,3192,3193,257,41.9497
17,30,3192,3193.5,3192,3192.5,520,39.1807
17,27,3192.5,3193,3192,3192.5,403,39.1807
17,24,3193.5,3194.5,3192.5,3193,456,40.8613
17,21,3193,3194,3192.5,3194,340,44.3979
17,18,3194,3194,3192,3193,429,39.5386
17,15,3196,3196,3192,3193.5,1933,41.2108
17,12,3196,3196.5,3195,3196,413,51.2798
17,9,3196,3196.5,3196,3196,264,51.2798
17,6,3196.5,3196.5,3195.5,3196.5,207,53.5355
17,3,3195,3196.5,3195,3196.5,334,53.5355
17,0,3195.5,3196.5,3194.5,3195,562,47.5697
16,57,3196,3196.5,3195,3196,855,51.6771
16,54,3195,3197,3193.5,3196,1722,51.6771
16,51,3194,3195.5,3194,3195,370,47.79
16,48,3195.5,3196.5,3193,3194,1331,43.5755
16,45,3194.5,3195.5,3193.5,3195.5,871,49.0956
16,42,3193,3194.5,3192,3194.5,708,44.764
16,39,3193,3193.5,3192.5,3193,647,37.337
16,36,3192.5,3193,3192,3193,480,37.337
16,33,3192,3193,3192,3192.5,521,34.818
16,30,3192,3192.5,3191.5,3192,719,32.2905
16,27,3192,3192.5,3191,3192,347,32.2905
16,24,3194,3194,3192,3192.5,570,33.4074
16,21,3192,3194,3192,3194,671,36.9698
16,18,3192,3193.5,3192,3192,668,27.3827
16,15,3193.5,3194.5,3192,3192.5,1089,28.385
16,12,3193.5,3194.5,3192,3194,1585,31.6078
16,9,3194,3195,3193,3193.5,1420,29.1167
16,6,3196,3196.5,3193.5,3194,1725,30.136
16,3,3197.5,3198,3196,3196,813,34.6398
16,0,3196.5,3198,3196,3197.5,1139,38.6641
15,57,3196.5,3197,3195.5,3196.5,1278,33.9112
15,54,3198,3198.5,3196,3196.5,1423,33.9112
15,51,3199.5,3199.5,3198,3198,472,37.6885
15,48,3200.5,3200.5,3198.5,3199.5,447,42.0363
15,45,3201,3201,3199,3200.5,1280,45.2693
15,42,3199,3201.5,3198.5,3201,1306,46.9456
15,39,3199,3200,3198.5,3199,456,38.4849
15,36,3197.5,3200,3197.5,3199,828,38.4849
15,33,3198,3199,3196.5,3198,1340,33.9434
15,30,3198.5,3198.5,3197,3198,635,33.9434
15,27,3198,3199,3198,3198,1124,33.9434
15,24,3198.5,3200,3198,3198.5,1174,34.9771
15,21,3201,3201.5,3198.5,3198.5,1292,34.9771
15,18,3200,3201.5,3199,3201,1550,40.2638
15,15,3199,3201,3198.5,3200,1036,36.7107
15,12,3198.5,3199,3197,3199,1144,33.0109
15,9,3197.5,3199.5,3195.5,3198.5,2966,31.142
15,6,3201.5,3201.5,3196.5,3197.5,3195,27.3793
15,3,3201,3202,3200,3201.5,2226,34.3513
