Hora;Minuto;Abertura;Máx;Mín;Fechar;WDOZ6 Curncy - Volume;RSI (14) no fechto (WDOZ6)
17;57;3288;3289;3281,5;3281,699;1185;62,9259
17;54;3286;3288,5;3281,699;3281,699;891;62,9259
17;51;3287;3288;3281,699;3281,699;1346;62,9259
17;48;3284;3288;3281,699;3281,699;920;62,9259
17;45;3283;3284,5;3281,699;3281,699;527;62,9259
17;42;3282;3283,5;3281,5;3281,699;778;62,9259
17;39;3280,5;3282;3280,5;3281,699;566;62,9259
17;36;3278,5;3281,699;3278,5;3281,699;1100;62,9259
17;33;3277;3278,5;3277;3278,5;395;56,9644
17;30;3277;3278,5;3276;3277;474;53,7245
17;27;3275;3277,5;3274,5;3276,5;550;52,6205
17;24;3273,5;3275,5;3273;3275;382;49,2474
17;21;3275,5;3276;3272;3273,5;1060;45,6548
17;18;3275,5;3276,5;3275;3275;348;48,8668
17;15;3277,5;3277,5;3275,5;3275,5;303;49,9547
17;12;3275;3278;3274,5;3277;725;53,2574
17;9;3275,5;3275,5;3274,5;3275;402;49,0901
17;6;3276,5;3277;3275,5;3275,5;839;50,1276
17;3;3278;3278,5;3276;3276,5;960;52,1754
17;0;3278;3279;3277;3278,5;1257;56,4588
16;57;3275;3278;3274;3278;2286;55,6129
16;54;3270,5;3275,5;3270;3275;2266;50,2251
16;51;3270;3270,5;3268,5;3270;723;38,7119
16;48;3269;3270,5;3268,5;3270,5;661;39,5616
16;45;3269;3270,5;3267,5;3269;1621;35,6254
16;42;3271;3271,5;3268,5;3269;1541;35,6254
16;39;3270,5;3272,5;3270,5;3271,5;1230;39,304
16;36;3275;3275;3270;3271;975;38,1173
16;33;3273;3275;3272,5;3275;899;44,5941
16;30;3273,5;3275;3272;3273,5;1243;41,1097
16;27;3270;3273,5;3269,5;3273,5;1694;41,1097
16;24;3271;3272,5;3270;3270;2266;32,5792
16;21;3274,5;3275;3270,5;3271;2583;33,8813
16;18;3280;3280;3274;3275;2262;39,7877
16;15;3280,5;3280,5;3278,5;3279,5;621;48,6466
16;12;3279,5;3281,5;3279,5;3281;470;52,2474
16;9;3281,5;3282,5;3279,5;3280;1122;49,9542
16;6;3279;3282;3278,5;3281,5;1055;53,535
16;3;3278;3280,5;3277,5;3279,5;1169;49,0097
16;0;3280;3280;3276;3277,5;2043;43,9399
15;57;3279;3283,5;3279;3280;3031;49,6724
15;54;3280;3280,5;3276,5;3279,5;1977;48,4228
15;51;3282;3283;3280;3280,5;2211;50,7637
15;48;3277,5;3283;3277,5;3282;2644;54,4286
15;45;3279;3279;3276;3277,5;2543;42,9561
15;42;3279,5;3280;3277,5;3278,5;693;45,3098
15;39;3277,5;3280,5;3276;3279,5;2765;47,7388
15;36;3274,5;3277,5;3273,5;3277,5;2124;41,9605
15;33;3275;3276;3273;3274,5;1964;31,3953
15;30;3277,5;3278,5;3274,5;3275,5;2363;33,2698
15;27;3277,5;3278;3275;3277,5;1947;37,4192
15;24;3278,5;3278,5;3275,5;3277,5;1364;37,4192
15;21;3277;3278,5;3276;3278;1566;38,4529
15;18;3280;3280,5;3276;3277,5;2174;36,8325
15;15;3279,5;3280,5;3278,5;3280;2088;41,962
15;12;3280,5;3282;3279,5;3280;2112;41,962
15;9;3283;3283,5;3280;3281;2386;44,0792
15;6;3285,5;3285,5;3283;3283;1267;48,6366
15;3;3285,5;3286;3284,5;3285,5;688;55,2695
15;0;3285;3286,5;3284,5;3285;1419;54,1071
14;57;3287;3288,5;3283,5;3285;1551;54,1071
14;54;3286;3287;3285;3287;559;59,4337
14;51;3286,5;3287;3285,5;3286;807;57,4907
14;48;3288;3289,5;3286,5;3287;1716;60,1666
14;45;3289,5;3290;3287,5;3288;1308;62,8844
14;42;3286;3290;3285,5;3289,5;3670;67,1067
14;39;3282;3286;3282;3286;1221;61,5069
14;36;3283,5;3284,5;3282;3282;1292;53,0191
14;33;3282,5;3283,5;3282;3283,5;2003;57,4285
14;30;3284;3284,5;3282;3282,5;1701;55,1178
14;27;3283,5;3286;3283,5;3284;1888;59,6257
14;24;3286,5;3286,5;3283;3284;2707;59,6257
14;21;3287,5;3287,5;3285,5;3286,5;1445;67,567
14;18;3285,5;3290;3284;3287,5;5153;71,0835
14;15;3283,5;3286;3283,5;3285,5;1291;67,9896
14;12;3284,5;3285;3283;3284;955;65,4123
14;9;3284;3286;3284;3284,5;3066;67,0841
14;6;3281,5;3284,5;3281,5;3284;3494;66,284
14;3;3281;3282,5;3280;3282;2476;62,9375
14;0;3279;3281;3277;3281;3474;61,1471
13;57;3272,5;3279;3271;3279;4100;57,318
13;54;3275;3275,5;3271,5;3272;2661;37,2039
13;51;3276,5;3277;3274,5;3275;1569;45,7916
13;48;3277;3277,5;3276,5;3276,5;593;51,2882
13;45;3278,5;3280;3276,5;3277;1334;53,2673
13;42;3280;3281;3277,5;3278,5;1609;59,6828
