Hora;Minuto;Abertura;Máx;Mín;Fechar;WDOZ6 Curncy - Volume;RSI (14) no fechto (WDOZ6)
17;57;3221;3223;3218;3218;589;27,2245
17;54;3221;3222,5;3220;3220;1148;30,0143
17;51;3220,5;3222,5;3220;3221;723;31,5136
17;48;3222,5;3222,5;3218;3220;1917;28,1823
17;45;3221;3223;3220;3222,5;805;31,7697
17;42;3221;3222;3218,5;3221;2428;26,5614
17;39;3225;3225,5;3220,5;3221,5;4691;27,2041
17;36;3226,5;3227;3223,5;3225;1536;32,2819
17;33;3231;3231;3225,5;3226,5;3080;34,8723
17;30;3232;3232,5;3230,5;3231,5;934;46,3955
17;27;3232,5;3233,5;3232;3232;729;47,8641
17;24;3233,5;3234,5;3232,5;3232,5;741;49,3136
17;21;3233;3234;3231,5;3233,5;950;52,2524
17;18;3233;3233;3231,5;3233;733;50,8937
17;15;3235,5;3236;3232;3232,5;1604;49,5609
17;12;3237;3237,5;3235;3235,5;1516;58,3901
17;9;3234;3238;3233;3237;4672;63,6551
17;6;3231,5;3234;3231,5;3233,5;1195;54,8304
17;3;3232,5;3232,5;3230,5;3231,5;718;48,1505
17;0;3231;3233;3230,5;3232,5;1672;51,7003
16;57;3233;3233;3230,5;3231,5;1085;48,1508
16;54;3232;3234;3231,5;3233;1448;53,6415
16;51;3231;3232;3230,5;3231,5;1056;48,1515
16;48;3230;3231,5;3229,5;3230,5;884;44,0497
16;45;3231;3231;3229,5;3230;1020;41,9163
16;42;3233;3233,5;3230;3230,5;1995;43,4549
16;39;3233;3234;3232,5;3233;516;52,382
16;36;3233,5;3234;3232,5;3232,5;398;50,4932
16;33;3231,5;3234;3231,5;3233;826;52,4241
16;30;3233;3234,5;3230,5;3232;2318;48,7871
16;27;3232,5;3233,5;3232,5;3232,5;513;50,5824
16;24;3232,5;3233,5;3232,5;3232,5;1170;50,5824
16;21;3232;3233;3231;3232,5;798;50,5824
16;18;3231;3232;3231;3232;512;49,0822
16;15;3232,5;3232,5;3230;3231;1229;46,0399
16;12;3230,5;3233;3230;3232;2623;48,7443
16;9;3229,5;3231;3229;3230,5;1422;44,1771
16;6;3227;3230;3226,5;3230;2085;42,5938
16;3;3228;3229;3225,5;3227;2636;31,8199
16;0;3228,5;3229,5;3227;3228;1633;33,7824
15;57;3229,5;3231,5;3228;3228;2117;33,7824
15;54;3230;3230;3229;3230;519;37,8029
15;51;3229,5;3230;3228;3230;973;37,8029
15;48;3228,5;3230;3228;3229,5;1297;36,1653
15;45;3229,5;3230;3227;3228,5;2878;32,8834
15;42;3231;3231,5;3229;3229;1379;33,6875
15;39;3231;3231,5;3230;3231,5;539;38,0021
