Hora,Minuto,Abertura,Máx,Mín,Fechar,WDOZ6 Curncy - Volume,RSI (14) no fechto (WDOZ6)
17,57,3239,3240,3232,3236,531,48.4936
17,54,3240,3241,3237.5,3239,801,60.6641
17,51,3239.5,3240.5,3238.5,3240,349,65.7735
17,48,3239.5,3240.5,3239,3239.5,282,64.3806
17,45,3239,3241,3239,3239.5,722,64.3806
17,42,3239,3240.5,3239,3239.5,392,64.3806
17,39,3239.5,3241.5,3238,3239,877,63.1809
17,36,3238,3239.5,3234.5,3239,1622,63.1809
17,33,3238,3238.5,3238,3238,130,60.9105
17,30,3238.5,3239,3238,3238,183,60.9105
17,27,3240,3240,3238.5,3239,372,64.3309
17,24,3238.5,3240,3238,3239.5,834,66.053
17,21,3238,3238.5,3238,3238,149,63.3175
17,18,3238.5,3238.5,3237.5,3238.5,241,64.9372
17,15,3239,3239,3236.5,3238,695,64.0841
17,12,3238,3239,3238,3238.5,303,65.5654
17,9,3238.5,3239,3237.5,3238.5,742,65.5654
17,6,3238,3239.5,3237.5,3238,1234,64.8651
17,3,3237.5,3238.5,3237,3238,659,64.8651
17,0,3230,3239,3230,3237,3894,63.5882
16,57,3232,3235,3230.5,3230.5,2099,53.3564
16,54,3233,3235.5,3230.5,3232,1736,56.7751
16,51,3234.5,3235,3229,3233,3395,59.12
16,48,3235.5,3236,3234.5,3234.5,659,62.7287
16,45,3235,3238,3234.5,3235.5,1678,65.1921
16,42,3234,3237,3234,3234.5,1618,63.8748
16,39,3237,3239,3233,3234,3054,63.2287
16,36,3235,3238.5,3235,3237,2977,70.2266
16,33,3235.5,3236,3234,3235,1449,68.0367
16,30,3234.5,3236,3233.5,3236,924,70.4422
16,27,3232,3235.5,3231.5,3234.5,1810,68.9112
16,24,3228.5,3233,3228,3231.5,1861,65.6022
16,21,3231.5,3232,3228,3228.5,1680,61.8297
16,18,3231.5,3233.5,3230.5,3232,1732,70.1663
16,15,3229.5,3232,3228.5,3231.5,2604,69.623
16,12,3229,3232,3228,3229.5,2486,67.4191
16,9,3230.5,3231,3226.5,3228.5,3330,66.2834
16,6,3224.5,3231,3223,3230.5,4805,70.8714
16,3,3219,3227,3219,3224,4965,63.1802
16,0,3220.5,3221,3218.5,3219,984,54.6217
15,57,3218.5,3222,3217,3221,2472,59.7831
15,54,3219.5,3221.5,3218,3219,1966,55.9148
15,51,3214.5,3221.5,3214.5,3219.5,3994,57.1918
15,48,3213,3216,3213,3215,1259,47.094
15,45,3214,3214,3212.5,3213,776,41.3881
15,42,3214.5,3216,3213,3214,1533,43.5698
15,39,3213,3214.5,3213,3214.5,507,44.6628
15,36,3215,3215,3211.5,3213.5,1957,41.9586
15,33,3215.5,3216.5,3211,3215,3572,45.0232
15,30,3216.5,3219.5,3215,3215.5,3358,46.0646
15,27,3214.5,3218,3213.5,3216,1562,47.0756
15,24,3216,3217.5,3214,3214,1102,42.378
15,21,3219,3219,3214.5,3216.5,5084,47.2455
15,18,3221,3221.5,3218.5,3218.5,1135,51.6528
15,15,3220.5,3222,3220,3220.5,790,56.5513
15,12,3221,3223,3220,3220.5,1519,56.5513
