Hora,Minuto,Abertura,Máx,Mín,Fechar,WDOZ6 Curncy - Volume,RSI (14) no fechto (WDOZ6)
17,57,3257,3259,3254,3254,370,41.18
17,54,3261,3261,3255.5,3257,649,46.2633
17,51,3257,3261,3257,3261,339,54.6094
17,48,3259.5,3260,3256,3257,615,45.4756
17,45,3262,3262.5,3259.5,3259.5,492,51.4886
17,42,3261,3262,3261,3262,123,58.6953
17,39,3261.5,3263,3261,3261,533,56.4302
17,36,3262,3262.5,3261.5,3261.5,251,57.9045
17,33,3261.5,3262.5,3261,3262,179,59.3442
17,30,3262.5,3263.5,3261.5,3262,612,59.3442
17,27,3260.5,3263,3259.5,3263,862,62.0026
17,24,3258.5,3262,3258.5,3260,1353,56.5848
17,21,3256,3259,3255,3258.5,816,53.507
17,18,3256,3256.5,3254,3256,607,47.7774
17,15,3256,3256.5,3255.5,3256,354,47.7774
17,12,3257,3258.5,3255.5,3255.5,700,46.6435
17,9,3259.5,3260,3257,3257,651,49.6465
17,6,3259.5,3260,3259,3259.5,354,55.1405
17,3,3260.5,3260.5,3257.5,3259,1158,54.1992
17,0,3259.5,3262,3259.5,3260.5,1009,57.564
16,57,3259,3260.5,3258,3259.5,1546,55.868
16,54,3251.5,3261.5,3251.5,3259,2841,55.0335
16,51,3252.5,3252.5,3250,3251.5,539,38.9581
16,48,3250,3253,3250,3252.5,785,40.7623
16,45,3250.5,3251.5,3249.5,3250,797,33.6265
16,42,3252,3253,3249,3250.5,1435,34.396
16,39,3254,3255,3251.5,3252.5,1043,37.591
16,36,3253,3255.5,3252.5,3254.5,564,41.1395
16,33,3254,3254.5,3252.5,3252.5,572,35.4844
16,30,3254,3256,3253,3254,982,38.0289
16,27,3253,3254,3253,3254,321,38.0289
16,24,3253.5,3255,3252.5,3253,1315,35.3647
16,21,3253.5,3254,3251,3253.5,1682,36.085
16,18,3252,3253.5,3251.5,3253,1390,34.8529
16,15,3249,3252,3248.5,3252,1697,32.4341
16,12,3250.5,3251,3246,3248.5,3606,23.1622
16,9,3254,3255,3250.5,3251,3061,25.4814
16,6,3254.5,3256.5,3253.5,3254.5,1225,29.2948
16,3,3256.5,3257,3253,3254.5,2130,29.2948
16,0,3261.5,3263.5,3254,3256,5343,31.0097
15,57,3261.5,3263,3260.5,3261.5,1099,38.7287
15,54,3264,3264,3261.5,3261.5,1255,38.7287
15,51,3265,3265.5,3263,3263.5,681,42.0073
15,48,3265.5,3267.5,3264,3265,996,44.639
