Hora;Minuto;Abertura;Máx;Mín;Fechar;WDOZ6 Curncy - Volume;RSI (14) no fechto (WDOZ6)
17;57;3249,5;3252;3246,856;3246,856;533;58,809
17;54;3248;3250;3246,856;3246,856;689;58,809
17;51;3248;3249,5;3246,856;3246,856;805;58,809
17;48;3247,5;3248;3246,5;3246,856;564;58,809
17;45;3246,5;3247,5;3246;3246,856;296;58,809
17;42;3246;3246,856;3245;3246,856;342;58,809
17;39;3248,5;3249;3244,5;3246,856;1322;58,809
17;36;3247;3250;3246,856;3246,856;2133;58,809
17;33;3247;3247,5;3246,5;3246,856;580;58,809
17;30;3247;3247,5;3246,5;3246,856;371;58,809
17;27;3246,5;3247;3246;3246,856;860;58,809
17;24;3245,5;3246,856;3245;3246,856;425;58,809
17;21;3245,5;3246,856;3245;3246,856;513;58,809
17;18;3245;3246,856;3244,5;3246,856;291;58,809
17;15;3245;3246,856;3244,5;3246,856;539;58,809
17;12;3244,5;3246,856;3244;3246,856;340;58,809
17;9;3244;3246,856;3244;3246,856;84;58,809
17;6;3243,5;3246,856;3243,5;3246,856;250;58,809
17;3;3243;3246,856;3243;3246,856;516;58,809
17;0;3243;3246,856;3242,5;3246,856;887;58,809
16;57;3244;3244,5;3242,5;3243,5;1459;43,9426
16;54;3243,5;3244,5;3243,5;3243,5;392;43,9426
16;51;3244,5;3244,5;3243,5;3243,5;583;43,9426
16;48;3244;3244,5;3243,5;3244;552;45,9196
16;45;3244,5;3244,5;3243;3244;572;45,9196
16;42;3243;3244,5;3243;3244,5;447;47,7728
16;39;3243,5;3244;3242,5;3243;1263;41,1574
16;36;3244,5;3245,5;3242,5;3243;1510;41,1574
16;33;3243,5;3245;3243;3244,5;1217;46,2036
16;30;3245;3245,5;3243;3243,5;1082;41,7851
16;27;3244,5;3245;3243,5;3245;1248;47,1829
16;24;3245,5;3246;3244,5;3245;545;47,1829
16;21;3246,5;3247;3245,5;3245,5;629;49,0022
16;18;3246;3248;3245,5;3246,5;855;52,782
16;15;3245,5;3246,5;3245;3246;616;51,0282
16;12;3245,5;3246;3245;3245,5;476;49,2788
16;9;3246;3246;3245;3245,5;535;49,2788
16;6;3245,5;3246,5;3245,5;3245,5;175;49,2788
16;3;3244,5;3246,5;3244,5;3245,5;543;49,2788
16;0;3247,5;3248;3244,5;3244,5;1854;46,4336
15;57;3247;3248;3246,5;3247,5;836;55,0334
15;54;3246,5;3247,5;3245;3247,5;2482;55,0334
15;51;3246;3248,5;3246;3246,5;2020;52,5052
15;48;3247,5;3248;3245,5;3246;2137;51,2322
15;45;3246;3248;3245,5;3248;2608;56,8965
15;42;3242,5;3246,5;3242,5;3246;2170;51,965
15;39;3242,5;3243,5;3242;3242,5;668;40,9948
15;36;3244;3244;3242,5;3242,5;1786;40,9948
15;33;3245,5;3245,5;3243;3244;2024;44,7734
15;30;3246,5;3247;3245;3245;1020;47,4827
15;27;3242,5;3247;3242;3246;4834;50,3096
15;24;3241,5;3243;3241,5;3242,5;2015;38,3885
15;21;3245;3245;3241;3242;3832;36,3633
15;18;3246;3246;3244,5;3245;1089;44,5158
15;15;3245,5;3246,5;3245;3246,5;545;49,6878
15;12;3246,5;3247;3245;3245,5;1304;45,7887
15;9;3244,5;3247,5;3244,5;3246;3002;47,4977
15;6;3243,5;3245;3243;3245;728;43,5874
15;3;3244,5;3245;3243;3243;1718;34,5322
15;0;3243,5;3244,5;3243;3244;725;37,313
14;57;3243,5;3244,5;3243;3244;1065;37,313
14;54;3243;3243,5;3242,5;3243,5;760;35,0584
14;51;3244;3244,5;3242,5;3243,5;1668;35,0584
14;48;3243;3244,5;3243;3244;2100;36,1804
14;45;3247,5;3247,5;3242,5;3243;4031;32,1475
14;42;3247;3247,5;3245;3247;2812;42,0071
14;39;3247;3248;3246;3246,5;953;39,8665
14;36;3246,5;3247,5;3246;3246,5;1556;39,8665
14;33;3248,5;3248,5;3246;3246,5;2466;39,8665
14;30;3248,5;3249;3247;3248;847;43,745
14;27;3247;3249;3246,5;3249;1683;46,5485
14;24;3250;3250;3246,5;3247;1582;39,3274
14;21;3250,5;3251;3249;3250;1621;48,4429
14;18;3251,5;3252;3250;3250;569;48,4429
14;15;3250,5;3252;3249,5;3251,5;820;53,8212
14;12;3251;3251,5;3249,5;3250;1181;48,5133
14;9;3251,5;3254;3251;3251;2445;52,2297
14;6;3250,5;3251,5;3250;3251;933;52,2297
14;3;3251;3252;3250;3250,5;872;50,5982
14;0;3250,5;3251,5;3249,5;3250,5;734;50,5982
13;57;3248,5;3250,5;3248;3250,5;728;50,5982
13;54;3249,5;3249,5;3248;3248,5;863;44,5307
13;51;3251;3251;3249;3249;816;45,8376
13;48;3250;3252,5;3249,5;3251;1742;51,4455
13;45;3250;3251,5;3248;3249,5;1468;46,9232
13;42;3248;3250,5;3247,5;3250;927;48,3161
13;39;3248,5;3249,5;3248;3248,5;1279;43,6569
13;36;3247;3250;3247;3248,5;1379;43,6569
13;33;3250,5;3250,5;3247;3247,5;2878;40,5777
13;30;3250,5;3251,5;3249,5;3250;1783;46,4738
13;27;3251;3251,5;3249,5;3250;1113;46,4738
13;24;3250,5;3252,5;3250,5;3251;1208;48,9257
13;21;3249,5;3251,5;3249,5;3251;2109;48,9257
13;18;3248;3250;3247;3249;1731;43,8138
13;15;3247,5;3248,5;3247;3247,5;1150;39,6038
13;12;3247;3248,5;3246;3247,5;1055;39,6038
13;9;3248;3248,5;3246,5;3247;735;38,2746
13;6;3246,5;3248;3245;3248;2573;39,9057
13;3;3249;3249;3245,5;3246;4089;34,7408
13;0;3253;3253;3247,5;3249;4241;39,4652
12;57;3251,5;3253,5;3250,5;3253;2118;47,4553
12;54;3249,5;3252;3248;3251;3005;42,0037
12;51;3250,5;3250,5;3247,5;3249;4751;35,8207
12;48;3250;3253;3249,5;3250;4388;37,6861
12;45;3256;3257;3250;3250,5;4482;38,6198
12;42;3254,5;3256;3254;3256;1409;51,7054
12;39;3255;3256;3253;3255;3231;48,7751
12;36;3258;3258,5;3255;3255;1741;48,7751
12;33;3257;3258,5;3256,5;3258;1611;57,8557
12;30;3255,5;3257;3255,5;3257;622;55,2787
12;27;3255;3257,5;3254;3255;1252;49,5493
12;24;3256,5;3257;3254;3255;2061;49,5493
12;21;3256;3257,5;3255;3257;1227;55,7024
12;18;3257;3257,5;3256;3256,5;838;54,3875
12;15;3258;3258;3257;3257,5;522;57,5606
12;12;3258;3258;3256;3257,5;2005;57,5606
12;9;3255,5;3259;3255;3257,5;3951;57,5606
