Hora,Minuto,Abertura,Máx,Mín,Fechar,WDOZ6 Curncy - Volume,RSI (14) no fechto (WDOZ6)
17,57,3145,3149.136,3144.5,3149.136,553,57.0835
17,54,3145,3149.136,3144.5,3149.136,405,57.0835
17,51,3143,3149.136,3143,3149.136,863,57.0835
17,48,3143,3149.136,3142,3149.136,911,57.0835
17,45,3145.5,3149.136,3143,3149.136,1392,57.0835
17,42,3146.5,3149.136,3145.5,3149.136,465,57.0835
17,39,3145.5,3149.136,3145,3149.136,958,57.0835
17,36,3144.5,3149.136,3144,3149.136,1129,57.0835
17,33,3144,3149.136,3144,3149.136,981,57.0835
17,30,3143.5,3149.136,3143.5,3149.136,512,57.0835
17,27,3143,3149.136,3143,3149.136,724,57.0835
17,24,3145.5,3149.136,3143,3149.136,1684,57.0835
17,21,3146,3149.136,3145,3149.136,1145,57.0835
17,18,3146.5,3149.136,3146,3149.136,353,57.0835
17,15,3147.5,3149.136,3146.5,3149.136,1154,57.0835
17,12,3147,3149.136,3146.5,3149.136,1200,57.0835
17,9,3146.5,3147,3146,3147,477,49.5236
17,6,3146,3148,3145.5,3146.5,2307,47.514
17,3,3145.5,3146,3145,3146,260,45.4991
17,0,3146,3147,3144.5,3145.5,1726,43.4844
16,57,3146.5,3147,3145.5,3146,851,45.0301
16,54,3145.5,3147,3145,3146,1470,45.0301
16,51,3145.5,3147,3145.5,3146,1452,45.0301
16,48,3147.5,3148,3145.5,3145.5,2621,43.4199
16,45,3146.5,3148,3146.5,3147.5,988,48.7207
16,42,3147.5,3148.5,3146.5,3147,1153,47.225
16,39,3149,3149,3147,3147.5,1018,48.5397
16,36,3150.5,3150.5,3147.5,3149,1081,52.6203
16,33,3148.5,3150.5,3147,3150,1940,55.5092
16,30,3149,3149,3146.5,3148.5,1265,51.8254
16,27,3148.5,3149.5,3147,3148.5,1263,51.8254
16,24,3148.5,3150,3147,3148.5,2815,51.8254
16,21,3146,3149.5,3144.5,3148.5,3618,51.8254
16,18,3147,3147,3145.5,3146,1546,46.3178
16,15,3148,3149,3145.5,3147,4602,48.3718
16,12,3150,3150.5,3148,3148,2680,50.4493
16,9,3151,3152,3149.5,3150,3519,54.8219
16,6,3154,3155.5,3150.5,3151,3091,57.1205
16,3,3152.5,3156,3152.5,3154.5,3682,66.1322
16,0,3149.5,3152.5,3149,3152.5,3040,63.0381
15,57,3150,3150.5,3148.5,3149,1530,56.5939
15,54,3149,3151,3148,3150.5,1745,60.8133
15,51,3148.5,3151,3147.5,3149,3862,57.8986
15,48,3150.5,3151.5,3148.5,3149,2168,57.8986
15,45,3149.5,3152.5,3149.5,3150.5,3185,61.8663
15,42,3154,3155,3149.5,3150,7168,61.0399
15,39,3154.5,3157,3154,3154,3963,72.7515
15,36,3156,3157,3153,3154.5,2652,74.4086
15,33,3153,3157,3152.5,3156,6439,79.4499
15,30,3151.5,3154,3151,3153,2420,76.4921
15,27,3153,3153.5,3151,3151,2187,74.1926
15,24,3152,3154,3150.5,3153.5,5337,83.6952
15,21,3148,3155,3147.5,3152.5,10795,82.8808
15,18,3143,3149.5,3143,3148.5,7163,78.9813
15,15,3143.5,3145.5,3143,3143.5,2216,71.4268
15,12,3143,3145,3142.5,3143.5,3116,71.4268
15,9,3144.5,3144.5,3142.5,3143,2859,70.5129
15,6,3142,3146.5,3140.5,3144,8278,74.9655
15,3,3138,3142,3137.5,3141.5,4338,70.6654
15,0,3139,3139.5,3138,3138.5,1933,63.7219
14,57,3137.5,3139,3137,3139,1845,66.1449
14,54,3136.5,3137.5,3136.5,3137.5,1107,62.1338
14,51,3137,3138.5,3136.5,3137,1238,60.6923
14,48,3137.5,3139,3136.5,3137,3074,60.6923
14,45,3136,3139.5,3134.5,3137.5,3763,62.7521
14,42,3136,3138.5,3136,3136,2474,58.863
14,39,3136,3136.5,3135,3136.5,1102,60.8288
14,36,3135,3136.5,3134.5,3136,1602,59.5752
14,33,3133.5,3135.5,3133,3135,1041,57.0206
14,30,3133.5,3134.5,3133.5,3133.5,464,52.8726
14,27,3134.5,3135.5,3133,3133.5,1958,52.8726
14,24,3133,3134.5,3133,3134.5,564,55.9782
14,21,3134.5,3134.5,3132.5,3133.5,2173,53.4386
14,18,3135.5,3135.5,3134,3134.5,807,56.4632
14,15,3134,3137,3133.5,3135.5,1734,59.5953
14,12,3135,3135,3133,3134,1168,56.2121
14,9,3135,3136,3133.5,3135,1352,59.2852
14,6,3134.5,3136,3133.5,3134.5,2225,58.2248
14,3,3135.5,3136,3134.5,3135,1181,59.6678
14,0,3137.5,3137.5,3134.5,3135.5,2611,61.0732
13,57,3136,3138.5,3136,3137.5,1620,66.9286
13,54,3138,3138,3135,3136,3505,64.5624
13,51,3139,3139.5,3137.5,3138,1841,70.8373
13,48,3138,3139.5,3137,3139,2811,74.1849
13,45,3134,3139,3133.5,3138.5,10296,73.6058
13,42,3130.5,3134,3130,3133.5,3961,66.6611
13,39,3130.5,3131,3128.5,3130.5,2126,60.9343
13,36,3129,3131,3128.5,3130.5,4347,60.9343
13,33,3125,3129.5,3124.5,3129,3824,57.8099
13,30,3125,3126,3124.5,3124.5,569,45.7156
13,27,3126.5,3127,3124.5,3125.5,1303,48.5898
13,24,3125,3127,3124,3126.5,1791,51.6024
13,21,3126,3127.5,3125,3125.5,2037,48.6459
13,18,3126,3127.5,3124.5,3126.5,2356,51.5713
13,15,3124,3126.5,3124,3126,2972,50.1803
13,12,3123.5,3124,3123,3123.5,1102,42.5143
13,9,3121,3123.5,3120,3123.5,2052,42.5143
13,6,3122,3122,3120,3121,2160,33.7204
13,3,3122.5,3123.5,3121,3121.5,1876,34.7064
13,0,3122,3123.5,3122,3122.5,1997,36.6993
12,57,3123.5,3124,3121.5,3122,1915,34.9655
12,54,3123.5,3124.5,3122.5,3123,2069,36.8394
12,51,3122.5,3124,3122,3123.5,1673,37.7795
12,48,3123.5,3124,3121,3122,2815,33.0181
12,45,3127.5,3128,3121,3123.5,9352,35.5438
12,42,3128,3129,3127,3127.5,1979,43.8495
12,39,3129.5,3132,3127.5,3128,2966,45.072
12,36,3128,3130,3127.5,3129.5,2826,48.8672
12,33,3131.5,3132,3128,3128,5396,44.53
12,30,3132.5,3133,3129,3131.5,7189,54.5563
12,27,3134,3136,3132.5,3132.5,4351,58.0223
12,24,3133,3134,3132,3133.5,1253,61.6598
12,21,3131.5,3133.5,3130.5,3133,2271,60.5104
12,18,3131,3132.5,3131,3132,1037,58.1821
12,15,3132,3132.5,3131,3131.5,1164,57.0052
12,12,3131,3132.5,3130.5,3131.5,1741,57.0052
12,9,3133,3133,3130,3131,3741,55.9359
12,6,3134,3135,3132.5,3133,2058,61.6289
12,3,3135.5,3136,3132,3134,4777,64.6856
12,0,3132.5,3137,3130.5,3135.5,9441,69.4858
11,57,3129.5,3133,3129,3133,2850,65.5267
11,54,3127.5,3131.5,3127,3129,3898,57.2944
11,51,3128,3128.5,3126.5,3127,2624,51.9691
11,48,3126.5,3129.5,3126.5,3128,3893,55.1627
11,45,3126.5,3129.5,3126,3126.5,4837,50.9656
11,42,3127,3127.5,3123.5,3125.5,3221,47.9494
11,39,3127,3127.5,3126,3127,1207,52.4426
11,36,3127.5,3127.5,3125.5,3127,1948,52.4426
11,33,3128,3129.5,3127,3128,2931,55.4282
11,30,3127.5,3129,3126.5,3128.5,3954,56.9331
11,27,3126,3128,3124.5,3128,2856,55.8193
11,24,3128,3128,3126,3126,2697,51.1241
11,21,3130,3131,3127,3128.5,5131,58.3177
11,18,3127.5,3132,3127.5,3129.5,7790,61.5336
11,15,3127,3127.5,3125.5,3127.5,2247,57.1447
11,12,3126,3127.5,3126,3127,1018,55.9787
11,9,3127.5,3128,3126,3126.5,1315,54.8377
11,6,3127.5,3128.5,3126,3127.5,3159,57.6108
11,3,3125.5,3128,3125,3128,4578,58.996
11,0,3123.5,3125.5,3122,3125.5,4033,53.8436
10,57,3122.5,3123.5,3121,3123,2352,47.7468
10,54,3123.5,3124.5,3121,3122,3441,45.0508
10,51,3126,3126.5,3123.5,3124,3236,49.8249
10,48,3128,3128,3126,3126.5,1880,56.813
10,45,3125,3128.5,3125,3128,3561,61.6287
10,42,3125,3126,3123.5,3125,2035,54.4598
10,39,3123.5,3128,3123.5,3125,4457,54.4598
10,36,3122,3125,3121.5,3124,2977,51.8756
10,33,3122,3123,3120.5,3122,2059,46.2067
10,30,3125,3126.5,3122,3122,2754,46.2067
10,27,3125.5,3126.5,3124.5,3125,1243,54.5119
