Hora;Minuto;Abertura;Máx;Mín;Fechar;WDOZ6 Curncy - Volume;RSI (14) no fechto (WDOZ6)
17;57;3287,5;3291;3275,483;3275,483;401;42,8967
17;54;3285;3290;3275,483;3275,483;1014;42,8967
17;51;3283,5;3286;3275,483;3275,483;338;42,8967
17;48;3282,5;3287;3275,483;3275,483;1132;42,8967
17;45;3283;3283,5;3275,483;3275,483;361;42,8967
17;42;3283;3283,5;3275,483;3275,483;296;42,8967
17;39;3285;3285;3275,483;3275,483;662;42,8967
17;36;3284;3287;3275,483;3275,483;1223;42,8967
17;33;3285;3285;3275,483;3275,483;586;42,8967
17;30;3284;3285,5;3275,483;3275,483;1219;42,8967
17;27;3282;3284;3275,483;3275,483;660;42,8967
17;24;3282;3282,5;3275,483;3275,483;447;42,8967
17;21;3280;3282,5;3279,5;3282;834;58,1867
17;18;3279;3281;3279;3280;1273;53,4595
17;15;3279;3280;3278,5;3279;570;50,8812
17;12;3277,5;3279,5;3277;3279,5;620;52,2244
17;9;3277;3278;3276,5;3277,5;827;47,0305
17;6;3279;3279;3277;3277;876;45,6591
17;3;3280;3280,5;3278;3279;439;50,5171
17;0;3278;3280,5;3277,5;3280;1088;53,1423
16;57;3282;3283;3278;3278;2219;48,1371
16;54;3279,5;3282,5;3279,5;3281,5;1233;58,2476
16;51;3281,5;3282;3279;3279;2013;51,4896
16;48;3283;3283,5;3281,5;3282;1074;62,8196
16;45;3281,5;3283;3281;3282,5;930;65,0343
16;42;3280,5;3282,5;3280;3281,5;530;62,5846
16;39;3281,5;3282;3280,5;3281;657;61,3266
16;36;3280;3282;3279,5;3282;1076;65,4109
16;33;3280,5;3280,5;3278,5;3279,5;745;59,0853
16;30;3280,5;3280,5;3279,5;3280;303;61,1626
16;27;3279,5;3281;3279;3280;1240;61,1626
16;24;3279,5;3279,5;3279;3279;426;58,656
16;21;3280;3281;3279;3279,5;1321;60,4679
16;18;3280;3280,5;3277;3280;2062;62,2537
16;15;3278,5;3281;3277,5;3280;1706;62,2537
16;12;3278;3279,5;3277,5;3278;1529;57,973
16;9;3281;3281;3278;3278,5;3436;59,5405
16;6;3280;3282,5;3278,5;3280,5;3628;66,1876
16;3;3276;3280;3275,5;3279,5;2931;64,3392
16;0;3277,5;3278,5;3274;3275,5;2707;55,2536
15;57;3276;3277,5;3275,5;3277;1961;60,6328
15;54;3275;3276,5;3274;3275,5;1186;56,7203
15;51;3274,5;3275,5;3273,5;3275;894;55,3467
15;48;3273,5;3275,5;3273,5;3274,5;926;53,9907
15;45;3274,5;3275;3274;3274;993;52,6558
15;42;3273,5;3275;3273,5;3274,5;721;54,1137
15;39;3274;3274,5;3273,5;3274;304;52,9028
15;36;3278,5;3278,5;3273;3274;3796;52,9028
15;33;3276;3278,5;3275;3278;2844;64,676
15;30;3275;3276;3273,5;3276;1431;60,6056
15;27;3274,5;3275,5;3273;3275,5;1081;59,5229
15;24;3275;3275,5;3273,5;3274;1004;56,1668
15;21;3273,5;3275,5;3273,5;3275;1270;59,2056
15;18;3273;3275,5;3272,5;3273,5;2242;55,8808
15;15;3272,5;3274;3271;3273;2516;54,7391
15;12;3270;3273;3270;3272;2697;52,4539
15;9;3269;3270,5;3268,5;3270,5;1630;48,8574
15;6;3267;3270;3267;3269;1491;44,9938
15;3;3267,5;3269;3266,5;3267,5;1562;40,844
15;0;3266;3268;3263,5;3267;3107;39,4296
14;57;3268;3269,5;3265;3265,5;3585;35,1075
14;54;3269,5;3270,5;3267,5;3268,5;2756;40,4707
14;51;3272;3272;3269;3269,5;1993;42,4793
14;48;3272;3272,5;3270,5;3272;1637;48,0109
14;45;3273;3273,5;3271,5;3272,5;729;49,2008
14;42;3275;3275,5;3273;3273;1083;50,3597
14;39;3273,5;3276;3273,5;3275;1469;55,188
