Hora;Minuto;Abertura;Máx;Mín;Fechar;WDOZ6 Curncy - Volume;RSI (14) no fechto (WDOZ6)
17;57;3418,5;3424,272;3417,5;3424,272;109;63,4045
17;54;3416;3424,272;3416;3424,272;715;63,4046
17;51;3416;3424,272;3416;3424,272;313;63,4046
17;48;3417;3424,272;3415;3424,272;733;63,4046
17;45;3420;3424,272;3417;3424,272;686;63,4045
17;42;3419,5;3424,272;3418;3424,272;529;63,4045
17;39;3419,5;3424,272;3418,5;3424,272;114;63,4045
17;36;3419,5;3424,272;3419;3424,272;389;63,4045
17;33;3419,5;3424,272;3417,5;3424,272;385;63,4045
17;30;3417;3424,272;3416;3424,272;1069;63,4045
17;27;3416,5;3424,272;3415,5;3424,272;719;63,4045
17;24;3416;3424,272;3415,5;3424,272;300;63,4045
17;21;3413,5;3424,272;3412,5;3424,272;596;63,4045
17;18;3413;3413,5;3412,5;3413;100;37,8783
17;15;3412,5;3413,5;3411;3413;439;37,8783
17;12;3416,5;3417;3411;3412,5;1611;36,1756
17;9;3417;3417,5;3416,5;3417;186;46,9244
17;6;3417;3417,5;3416,5;3417;122;46,9244
17;3;3417,5;3418;3416;3416,5;167;45,3693
17;0;3416,5;3418;3415,5;3418;575;49,4015
16;57;3418,5;3418,5;3416;3416,5;620;44,8501
16;54;3418,5;3420;3418,5;3418,5;496;50,471
16;51;3419;3419,5;3418,5;3418,5;394;50,471
16;48;3418,5;3419,5;3418;3418,5;381;50,471
16;45;3418;3419,5;3417,5;3419;629;51,7697
16;42;3415,5;3419,5;3415;3418,5;1551;50,5891
16;39;3415,5;3416,5;3413,5;3415;486;41,2398
16;36;3414;3416;3413;3415;584;41,2398
16;33;3416;3416;3413;3413,5;1039;36,8223
16;30;3413,5;3418;3413,5;3415,5;1848;40,6014
16;27;3413;3414;3412,5;3413,5;547;34,3444
16;24;3411;3414;3410;3413;1281;32,6987
16;21;3412;3412,5;3410;3411;1052;25,7893
16;18;3411;3412;3409;3412;1586;27,0801
16;15;3413,5;3415,5;3410,5;3410,5;2305;21,6156
16;12;3415;3416,5;3411,5;3413,5;2795;25,1102
16;9;3420;3421;3415;3416;2266;28,7007
16;6;3420,5;3420,5;3418,5;3419,5;1422;35,2539
16;3;3423;3423;3420;3420;1467;36,355
16;0;3422,5;3423,5;3422,5;3423;238;44,0145
