Hora,Minuto,Abertura,Máx,Mín,Fechar,WDOZ6 Curncy - Volume,RSI (14) no fechto (WDOZ6)
17,57,3396.5,3397,3396.5,3396.7,12,48.5983
17,51,3396.7,3396.7,3396.7,3396.7,0,48.5983
17,48,3397,3397,3396.7,3396.7,30,48.5983
17,45,3396.7,3396.7,3396.7,3396.7,0,48.5983
17,42,3396.5,3397,3396.5,3397,8,52.7302
17,30,3396.5,3397,3396.5,3397,53,52.7302
17,27,3397,3397,3396.5,3396.5,3,46.1521
17,24,3396.5,3396.5,3396.5,3396.5,1,46.1521
17,18,3397,3397,3397,3397,5,52.445
17,15,3396.5,3397,3396.5,3397,13,52.445
17,6,3396.5,3396.5,3396.5,3396.5,3,46.1091
17,3,3397,3397,3397,3397,1,52.6189
17,0,3397,3397,3396.5,3397,16,52.6189
16,57,3396.5,3396.5,3396.5,3396.5,1,46.0516
16,48,3397,3397,3397,3397,4,52.8542
16,36,3396.5,3397,3396.5,3397,2,52.8542
16,33,3397,3397,3397,3397,13,52.8542
16,24,3396.5,3397,3396.5,3396.5,41,46.5303
16,21,3397,3397,3396.5,3397,17,53.1504
16,18,3397,3397,3396.5,3397,7,53.1504
16,15,3397,3397,3397,3397,8,53.1504
16,12,3396.5,3396.5,3396.5,3396.5,20,47.1275
16,9,3397,3397,3396.5,3396.5,3,47.1275
16,6,3397,3397,3397,3397,8,53.0028
16,3,3396.5,3396.5,3396.5,3396.5,1,46.8499
16,0,3397,3397,3397,3397,2,53.3336
15,57,3396.5,3396.5,3396.5,3396.5,3,46.4524
15,51,3396.5,3396.5,3396.5,3396.5,2,46.4524
15,48,3397,3397,3397,3397,3,53.2188
15,45,3396.5,3396.5,3396.5,3396.5,42,45.9015
15,42,3396.5,3396.5,3396.5,3396.5,10,45.9015
15,39,3397,3397,3396.5,3396.5,11,45.9015
15,36,3396.5,3397,3396.5,3397,8,52.4729
15,33,3397,3397,3397,3397,45,52.4729
15,30,3396.5,3397,3396.5,3397,85,52.4729
15,27,3396.5,3397,3396.5,3397,43,52.4729
15,24,3396.5,3396.5,3396.5,3396.5,2,46.8117
15,18,3396.5,3397,3396.5,3397,7,52.6333
15,15,3397,3397,3396.5,3396.5,6,46.4493
15,12,3396.5,3397,3396.5,3397,10,52.8573
15,9,3397,3397,3397,3397,12,52.8573
15,6,3396.5,3397,3396.5,3396.5,3,46.4924
15,3,3396.5,3396.5,3396.5,3396.5,2,46.4924
15,0,3397,3397,3397,3397,1,52.6178
14,48,3396.5,3397,3396.5,3397,4,52.6178
14,45,3396.5,3396.5,3396.5,3396.5,1,46.5453
14,42,3396.5,3397,3396.5,3397,7,52.8328
14,39,3397,3397,3397,3397,7,52.8328
14,36,3397,3397,3396.5,3397,10,52.8328
14,33,3397,3397,3396.5,3397,8,52.8328
14,30,3397,3397,3396.5,3396.5,8,47.5669
14,27,3397,3397,3397,3397,30,53.0684
14,24,3397,3397,3396.5,3397,495,53.0684
14,21,3397,3397,3396.5,3396.5,32,47.8697
14,18,3397,3397,3397,3397,1,53.3581
14,15,3397,3397,3397,3397,2,53.3581
14,12,3396.5,3397,3396.5,3397,41,53.3581
14,9,3396.5,3396.5,3396.5,3396.5,1,48.6437
14,6,3397,3397,3397,3397,282,53.6821
14,3,3396.5,3396.5,3396.5,3396.5,28,48.7532
14,0,3397,3397,3396.5,3396.5,22,48.7532
13,57,3396.5,3397,3396.5,3397,12,53.6785
13,54,3396.5,3397,3396.5,3397,24,53.6785
13,51,3396.5,3396.5,3396.5,3396.5,100,49.2585
13,48,3397,3397,3396.5,3396.5,9,49.2585
13,45,3397,3397,3396.5,3396.5,34,49.2585
13,42,3397,3397,3396.5,3397,22,53.333
13,39,3396.5,3397,3396.5,3397,42,53.333
