Hora;Minuto;Abertura;Máx;Mín;Fechar;WDOZ6 Curncy - Volume;RSI (14) no fechto (WDOZ6)
17;57;3220;3223;3212,115;3212,115;1155;40,0465
17;54;3221;3222,5;3212,115;3212,115;756;40,0465
17;51;3221;3223;3212,115;3212,115;676;40,0465
17;48;3225;3225;3212,115;3212,115;1445;40,0465
17;45;3224,5;3226;3212,115;3212,115;1079;40,0465
17;42;3224;3224,5;3212,115;3212,115;500;40,0465
17;39;3223,5;3225,5;3223;3224;1631;65,6382
17;36;3220,5;3223,5;3218,5;3223,5;1718;64,7584
17;33;3219,5;3221,5;3219,5;3221;1357;60,0039
17;30;3217,5;3220,5;3216;3219;1941;55,549
17;27;3220,5;3221;3217;3217;2763;50,4213
17;24;3222,5;3223,5;3220,5;3220,5;2465;62,0536
17;21;3221,5;3224,5;3221;3223;2620;73,2643
17;18;3220,5;3222;3220,5;3221,5;1104;70,2721
17;15;3220;3221,5;3220;3221;1162;69,2053
17;12;3219,5;3220,5;3219;3220,5;1366;68,1438
17;9;3217,5;3219,5;3217;3219,5;1609;65,965
17;6;3216,5;3218;3216;3217,5;738;61,0129
17;3;3218;3218;3216;3216;1850;56,6169
17;0;3217,5;3219,5;3217;3218,5;3206;68,5852
16;57;3215;3218;3215;3218;1627;67,3016
16;54;3214;3216;3214;3215,5;1441;59,6456
16;51;3213,5;3215;3213,5;3214,5;1154;55,8018
16;48;3212,5;3213,5;3212,5;3213,5;734;51,5133
16;45;3211,5;3212,5;3211,5;3212;582;43,9366
16;42;3212;3213;3211,5;3211,5;1165;41,0871
16;39;3213;3213,5;3212;3212;610;43,1223
16;36;3213;3213;3212;3213;578;47,491
16;33;3213;3213,5;3211,5;3213;1679;47,491
16;30;3214;3215;3212,5;3213,5;1656;49,66
16;27;3214,5;3215,5;3214;3214,5;1140;54,2625
16;24;3215;3215;3214;3214,5;743;54,2625
16;21;3215;3215,5;3214,5;3215;444;56,5209
16;18;3214,5;3216,5;3214;3215;822;56,5209
16;15;3216;3216;3214;3214,5;1364;54,9025
16;12;3215;3217;3215;3215,5;2403;58,9795
16;9;3215,5;3217;3214,5;3215;2205;57,5148
16;6;3214,5;3216;3213;3215,5;3284;59,4873
16;3;3214;3214,5;3212,5;3214;2375;55,208
16;0;3212;3214;3211,5;3214;2251;55,208
15;57;3212,5;3212,5;3211,5;3212;701;49,0167
15;54;3212,5;3213;3211,5;3212,5;983;50,6417
15;51;3211,5;3212,5;3210,5;3212,5;1415;50,6417
15;48;3211,5;3212,5;3211;3212;1388;49,1893
